baseline_pair,baseline,baseline_hi,metric,threshold,population,regime,populated,V_lo,V_hi,R
nothing -> free+education,nothing,free+education,net_benefit,0.45,0.5,rare-first,0.5232080100789073,0.008911080079164949,0.0026120415113674023,0.7068771138669674
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.45,0.5,rare-first,0.5232080100789073,0.008911080079164949,0.0,1.0
free -> free+education,free,free+education,net_benefit,0.45,0.5,rare-first,0.5232080100789073,0.034217743798912986,0.0026120415113674023,0.9236641221374047
free -> free+education+hours,free,free+education+hours,net_benefit,0.45,0.5,rare-first,0.5232080100789073,0.034217743798912986,0.0,1.0
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.45,0.5,rare-first,0.5232080100789073,0.0026120415113674023,0.0,1.0
nothing -> free,nothing,free,net_benefit,0.45,0.75,rare-first,0.8137059876666004,0.008911080079164949,0.03980349410783712,-3.4667418263810594
nothing -> free+education,nothing,free+education,net_benefit,0.45,0.75,rare-first,0.8137059876666004,0.008911080079164949,0.004761952601492883,0.4656144306651633
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.45,0.75,rare-first,0.8137059876666004,0.008911080079164949,0.004350053747777249,0.5118376550169113
free -> free+education,free,free+education,net_benefit,0.45,0.75,rare-first,0.8137059876666004,0.03980349410783712,0.004761952601492883,0.8803634528016153
free -> free+education+hours,free,free+education+hours,net_benefit,0.45,0.75,rare-first,0.8137059876666004,0.03980349410783712,0.004350053747777249,0.8907117617364968
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.45,0.75,rare-first,0.8137059876666004,0.004761952601492883,0.004350053747777249,0.08649789029535959
nothing -> free,nothing,free,net_benefit,0.45,1.0,full,1.0,0.008911080079164949,0.04658475572388711,-4.227733934611048
nothing -> free+education,nothing,free+education,net_benefit,0.45,1.0,full,1.0,0.008911080079164949,0.007745707712554881,0.13077790304396797
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.45,1.0,full,1.0,0.008911080079164949,0.005163805141703254,0.420518602029312
free -> free+education,free,free+education,net_benefit,0.45,1.0,full,1.0,0.04658475572388711,0.007745707712554881,0.8337287039033857
free -> free+education+hours,free,free+education+hours,net_benefit,0.45,1.0,full,1.0,0.04658475572388711,0.005163805141703254,0.8891524692689238
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.45,1.0,full,1.0,0.007745707712554881,0.005163805141703254,0.33333333333333337
nothing -> free,nothing,free,net_benefit,0.5,0.25,rare-first,0.26748889330946224,0.0,0.021217814123107526,
nothing -> free+education,nothing,free+education,net_benefit,0.5,0.25,rare-first,0.26748889330946224,0.0,0.0002210188971156976,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.5,0.25,rare-first,0.26748889330946224,0.0,-0.0008840755884628113,
free -> free+education,free,free+education,net_benefit,0.5,0.25,rare-first,0.26748889330946224,0.021217814123107526,0.0002210188971156976,0.9895833333333336
free -> free+education+hours,free,free+education+hours,net_benefit,0.5,0.25,rare-first,0.26748889330946224,0.021217814123107526,-0.0008840755884628113,1.0416666666666665
free+education -> free+education+hours,free+education,free+education+hours,net_benefit,0.5,0.25,rare-first,0.26748889330946224,0.0002210188971156976,-0.0008840755884628113,5.000000000000094
nothing -> free,nothing,free,net_benefit,0.5,0.5,rare-first,0.5232080100789073,0.0,0.045750911702950606,
nothing -> free+education,nothing,free+education,net_benefit,0.5,0.5,rare-first,0.5232080100789073,0.0,0.003204774008177695,
nothing -> free+education+hours,nothing,free+education+hours,net_benefit,0.5,0.5,rare-first,0.5232080100789073,0.0,0.001215603934136368,
free -> free+education,free,free+education,net_benefit,0.5,0.5,rare-first,0.5232080100789073,0.045750911702950606,0.003204774008177695,0.9299516908212562
free -> free+education+hours,free,free+education+hours,net_benefit,0.5,0.5,rare-first,0.5232080100789073,0.045750911702950606,0.001215603934136368,0.9734299516908212
