log,target,metric,draw,axis,S,S_total
BPIC13_closed,handover,ap,64,learner,0.01078619505364918,0.6649860593401822
BPIC13_closed,handover,ap,64,split,1.6731059663917537e-05,0.561836024798059
BPIC13_closed,handover,ap,64,quality_level,0.028915608288976196,0.44524618272712907
BPIC13_closed,handover,ap,64,rung,0.02638183553132248,0.6178690218376337
BPIC13_closed,handover,ap,65,learner,0.06798199119734538,0.3484686871408305
BPIC13_closed,handover,ap,65,split,0.0046852490726025766,0.36073446565790646
BPIC13_closed,handover,ap,65,quality_level,0.02057061623509995,0.1546584400584325
BPIC13_closed,handover,ap,65,rung,0.43443015503115695,0.8760187711259705
BPIC13_closed,handover,ap,66,learner,0.013797587770586449,0.33751179709634876
BPIC13_closed,handover,ap,66,split,0.2542527993304255,0.5422428083693278
BPIC13_closed,handover,ap,66,quality_level,0.0385183652427329,0.31735116269224345
BPIC13_closed,handover,ap,66,rung,0.15955061851440266,0.594727595175297
BPIC13_closed,handover,ap,67,learner,0.032705107485123876,0.31226712851565624
BPIC13_closed,handover,ap,67,split,0.2696789057052239,0.5113935842682775
BPIC13_closed,handover,ap,67,quality_level,0.00016241331636267144,0.10342240802034598
BPIC13_closed,handover,ap,67,rung,0.28365936641336437,0.5648339853096704
BPIC13_closed,handover,ap,68,learner,0.08892207395622727,0.43949418260852247
BPIC13_closed,handover,ap,68,split,0.24018061028167392,0.6323423266125213
BPIC13_closed,handover,ap,68,quality_level,0.05576610961597252,0.10013176593880689
BPIC13_closed,handover,ap,68,rung,0.12013088557404882,0.5675948188463423
BPIC13_closed,handover,ap,69,learner,0.1425102681246579,0.3200479706551382
BPIC13_closed,handover,ap,69,split,2.7895287247008012e-05,0.2052114144180112
BPIC13_closed,handover,ap,69,quality_level,0.09288918420153326,0.20117429879618653
BPIC13_closed,handover,ap,69,rung,0.4860369332950127,0.694178677428095
BPIC13_closed,handover,ap,70,learner,0.05212595586806961,0.40603792649285236
BPIC13_closed,handover,ap,70,split,0.0751035389617556,0.5348700521984179
BPIC13_closed,handover,ap,70,quality_level,0.12451567399176378,0.1998845522236617
BPIC13_closed,handover,ap,70,rung,0.07023771822958648,0.6570238673935901
BPIC13_closed,handover,ap,71,learner,0.0020262489132195226,0.5910996584668148
BPIC13_closed,handover,ap,71,split,0.0009968163137592768,0.7140849866122064
BPIC13_closed,handover,ap,71,quality_level,0.0003565580266065784,0.21155168170644753
BPIC13_closed,handover,ap,71,rung,0.14822141740568426,0.8471738121111279
BPIC13_closed,handover,ap,72,learner,0.055360555897397724,0.7460778121443794
BPIC13_closed,handover,ap,72,split,0.0019839679398745945,0.53979942904626
BPIC13_closed,handover,ap,72,quality_level,0.06777211300954318,0.27347858505994
