rho,n,rep,R_hat,V_lo,V_hi,R_true
0.4,20000,8,0.27003534257648165,0.1550576542191332,0.11318660744296394,0.3078239074071256
0.4,20000,9,0.28689337869964815,0.14877887844541593,0.1060952033290663,0.3078239074071256
0.4,60000,0,0.29517690200519775,0.15759865769211623,0.11107917415437973,0.3078239074071256
0.4,60000,1,0.3049365853719581,0.1578826801865133,0.10973847480106502,0.3078239074071256
0.4,60000,2,0.30172027988120664,0.16314680176013419,0.11392210307134276,0.3078239074071256
0.4,60000,3,0.30931425154102643,0.15499996567311147,0.1070562673020482,0.3078239074071256
0.4,60000,4,0.3044735752497031,0.16423101422939812,0.1142270101600884,0.3078239074071256
0.4,60000,5,0.3063594968094139,0.15474290362194443,0.1073359455334979,0.3078239074071256
0.4,60000,6,0.30279119950635924,0.1606523260339705,0.11200821553065787,0.3078239074071256
0.4,60000,7,0.2955639176961442,0.1568423029371283,0.1104853774205452,0.3078239074071256
0.4,60000,8,0.3152343069175235,0.16150291205766953,0.11059165351000833,0.3078239074071256
0.4,60000,9,0.3240424222844086,0.1559273799299884,0.10540029403701368,0.3078239074071256
0.4,60000,10,0.33140377777831664,0.16549491833639696,0.110649277196601,0.3078239074071256
0.4,60000,11,0.3091669853115263,0.161106745558518,0.11129785872083986,0.3078239074071256
0.4,60000,12,0.31068174807110904,0.16054119154748225,0.11066397352009172,0.3078239074071256
0.4,60000,13,0.30496222437777765,0.15897429700894916,0.11049314177420655,0.3078239074071256
0.4,60000,14,0.2739822531391367,0.15769721441826878,0.11449097629818594,0.3078239074071256
0.4,60000,15,0.313315287689211,0.1614788826959096,0.11088508010830833,0.3078239074071256
0.4,60000,16,0.32209820199085515,0.1573444031801735,0.10666405382251543,0.3078239074071256
0.4,60000,17,0.30174025945792604,0.15220679694597716,0.10627987854423815,0.3078239074071256
0.4,60000,18,0.2709938202685851,0.15337164541077353,0.1118088773000292,0.3078239074071256
0.4,60000,19,0.3204399521064353,0.15539750113975392,0.10560193331707146,0.3078239074071256
0.4,60000,20,0.29340804047479285,0.15577730245787658,0.11007098939326188,0.3078239074071256
0.4,60000,21,0.34022157622811244,0.16016639358189655,0.10567433069869148,0.3078239074071256
0.4,60000,22,0.3295285489823413,0.160921597347633,0.10789333687374691,0.3078239074071256
0.4,60000,23,0.3071554708271933,0.15784814003362235,0.10936422026239834,0.3078239074071256
0.4,60000,24,0.30603526791817903,0.15551758419662853,0.10792371865102535,0.3078239074071256
0.4,60000,25,0.2997320808223789,0.1639646816889253,0.11481920646492472,0.3078239074071256
0.4,60000,26,0.31404686512623403,0.15829042726198417,0.10857981480086587,0.3078239074071256
0.4,60000,27,0.3154734488973696,0.15521737385859113,0.10625041359862897,0.3078239074071256
0.4,60000,28,0.3127759368524936,0.16050376475591444,0.11030204936603105,0.3078239074071256
0.4,60000,29,0.3256719880313922,0.1597522014822904,0.10772538443316138,0.3078239074071256
0.4,60000,30,0.2990331021438971,0.1538476872378597,0.10784213606545845,0.3078239074071256
0.4,60000,31,0.3018900713948094,0.16316401445068673,0.11390641847910521,0.3078239074071256
0.4,60000,32,0.29734511517424866,0.1585949673049215,0.11143752848558341,0.3078239074071256
0.4,60000,33,0.2999906373865334,0.15651967922542565,0.10956524089105446,0.3078239074071256
0.4,60000,34,0.3043965013579364,0.1558221111781618,0.10839040570132197,0.3078239074071256
0.4,60000,35,0.298764347165438,0.14628500505137643,0.10258026101710915,0.3078239074071256
0.4,60000,36,0.30737600230251383,0.15730012576749053,0.10894984194739665,0.3078239074071256
0.4,60000,37,0.29707800287739794,0.15750896947244153,0.11071651938629157,0.3078239074071256
0.4,60000,38,0.2904143022175254,0.15869568567208836,0.11260818885269708,0.3078239074071256
0.4,60000,39,0.3026996530652365,0.15621988650955143,0.1089321810612196,0.3078239074071256
0.6,5000,0,0.6457808334911368,0.12210895909187125,0.0432533337127875,0.600006020344926
0.6,5000,1,0.6707944443170439,0.11631511000149375,0.03829158042236591,0.600006020344926
0.6,5000,2,0.5384469404941223,0.15001530205545743,0.06924002163639476,0.600006020344926
0.6,5000,3,0.6326979080392214,0.13310952222611439,0.04889140597355157,0.600006020344926
0.6,5000,4,0.5910315765906228,0.1112699765646269,0.04550590688843381,0.600006020344926
0.6,5000,5,0.6016600467819602,0.13736291122183264,0.05471713562999858,0.600006020344926
0.6,5000,6,0.644917315563409,0.16811923855406175,0.05969623053121187,0.600006020344926
0.6,5000,7,0.6852379078613358,0.1155045129184964,0.0363564421376833,0.600006020344926
0.6,5000,8,0.6303643225056335,0.13687499999999997,0.0505938833570414,0.600006020344926
0.6,5000,9,0.557011751388067,0.13191916031402906,0.05843863778586855,0.600006020344926
0.6,20000,0,0.641728587408117,0.13359200744579403,0.047862197218589975,0.600006020344926
0.6,20000,1,0.5975512877967162,0.13959704532201167,0.05618065111722703,0.600006020344926
0.6,20000,2,0.6131458527230161,0.12616590632540825,0.04880780410694363,0.600006020344926
0.6,20000,3,0.6014100449860629,0.13163733943104883,0.052469321201976116,0.600006020344926
0.6,20000,4,0.5706824904231083,0.1314436428208985,0.05643105738558263,0.600006020344926
0.6,20000,5,0.6074749180448654,0.13137348225522516,0.05156738688896367,0.600006020344926
0.6,20000,6,0.5975605154270456,0.13548080856734734,0.05452282676937037,0.600006020344926
0.6,20000,7,0.5529937293184215,0.1336482999122729,0.05974162812671824,0.600006020344926
0.6,20000,8,0.5755331218397134,0.12209664528397679,0.05182598185753351,0.600006020344926
0.6,20000,9,0.5985358023893375,0.1292186739267842,0.051876671244330264,0.600006020344926
