log,target,metric,measure,component,order,share,scale
BPIC14,duration,auc,equal-level,split+rung,2,0.008058694002746673,raw-within-metric
BPIC14,duration,auc,equal-level,quality_level+rung,2,0.03966146429717432,raw-within-metric
BPIC14,duration,auc,equal-level,learner+split+quality_level,3,0.006848385354405787,raw-within-metric
BPIC14,duration,auc,equal-level,learner+split+rung,3,0.0012836812307430192,raw-within-metric
BPIC14,duration,auc,equal-level,learner+quality_level+rung,3,0.01201685875369145,raw-within-metric
BPIC14,duration,auc,equal-level,split+quality_level+rung,3,0.0014703060172187403,raw-within-metric
BPIC14,duration,auc,equal-level,learner+split+quality_level+rung,4,0.001387920986414376,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner,1,0.24207921280741582,raw-within-metric
BPIC14,duration,brier_skill,equal-level,split,1,0.012441992246073199,raw-within-metric
BPIC14,duration,brier_skill,equal-level,quality_level,1,0.1495037242855364,raw-within-metric
BPIC14,duration,brier_skill,equal-level,rung,1,0.35891689368868696,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner+split,2,0.007764217739746725,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner+quality_level,2,0.026687330441658847,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner+rung,2,0.12045697157723194,raw-within-metric
BPIC14,duration,brier_skill,equal-level,split+quality_level,2,0.009583190909066237,raw-within-metric
BPIC14,duration,brier_skill,equal-level,split+rung,2,0.0029525779739629173,raw-within-metric
BPIC14,duration,brier_skill,equal-level,quality_level+rung,2,0.040910060847975195,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner+split+quality_level,3,0.012049708896043185,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner+split+rung,3,0.0009777105630879065,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner+quality_level+rung,3,0.013142283013381113,raw-within-metric
BPIC14,duration,brier_skill,equal-level,split+quality_level+rung,3,0.0014963524646696748,raw-within-metric
BPIC14,duration,brier_skill,equal-level,learner+split+quality_level+rung,4,0.0010377725454639491,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner,1,0.2613738530435024,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,split,1,0.01296828848700611,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,quality_level,1,0.1506457213026314,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,rung,1,0.3420213503600594,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner+split,2,0.007011715445957896,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner+quality_level,2,0.02709470122820814,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner+rung,2,0.1156238564196346,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,split+quality_level,2,0.009612574918145864,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,split+rung,2,0.0026456392162481335,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,quality_level+rung,2,0.03951306347883081,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner+split+quality_level,3,0.015455100013533755,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner+split+rung,3,0.0010909274470699516,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner+quality_level+rung,3,0.012346711600745111,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,split+quality_level+rung,3,0.0014712413153253506,raw-within-metric
BPIC14,duration,logloss_skill,equal-level,learner+split+quality_level+rung,4,0.0011252557231011611,raw-within-metric
BPIC14,duration,nagelkerke,equal-level,learner,1,0.2573707164175054,raw-within-metric
BPIC14,duration,nagelkerke,equal-level,split,1,0.011037472942012199,raw-within-metric
BPIC14,duration,nagelkerke,equal-level,quality_level,1,0.14704373411434096,raw-within-metric
BPIC14,duration,nagelkerke,equal-level,rung,1,0.3485660428857,raw-within-metric
