macro,generator,line
scaPmax,round21_numbers.py,875
scaPmin,round21_numbers.py,876
scaSubSurfacePair,round27_numbers.py,796
scaSubSurfaceRegion,round27_numbers.py,797
schemeCells,round27_numbers.py,177
schemeWidthRatio,round27_numbers.py,192
seedSdMax,round20_numbers.py,492
seedSdMedian,round20_numbers.py,491
seedSdMedianCase,round21_numbers.py,1107
shLearnerPct,round20_numbers.py,310
shMetricPct,round20_numbers.py,310
shQualityPct,round20_numbers.py,310
shRungPct,round20_numbers.py,310
shSplitPct,round20_numbers.py,310
shareAnalystRollingPct,round26_numbers.py,90
shareAnalystStratumPct,round26_numbers.py,83
shareCellsAboveMpidPct,round26_numbers.py,174
shareCellsExcludingVPct,round21_numbers.py,203
shareCohortPct,round21_numbers.py,370
shareCohortTargetPct,round21_numbers.py,371
shareCounterfactualCrossPct,round21_numbers.py,757
shareCounterfactualPct,round21_numbers.py,754
shareCounterfactualStratumPct,round26_numbers.py,84
shareDegenerateDcaMaxPct,round21_numbers.py,1521
shareExcludesMultPct,round27_numbers.py,184
shareExcludesWeightedPct,round27_numbers.py,186
shareExcludingVMaxPct,round21_numbers.py,205
shareLatitudeCrossPct,round21_numbers.py,755
shareLatitudePct,round21_numbers.py,752
shareMixedStratumPct,round26_numbers.py,86
shareResamplingCrossPct,round21_numbers.py,756
shareResamplingPct,round21_numbers.py,753
shareResamplingRollingPct,round26_numbers.py,88
shareResamplingStratumPct,round26_numbers.py,87
shareResolvedAucPct,round21_numbers.py,1027
shareStraddleAtHalfPct,round21_numbers.py,477
shareTargetPct,round21_numbers.py,369
shareUniformFamilyPct,round27_numbers.py,465
shiftMedian,make_numbers.py,539
shiftNegativePct,make_numbers.py,540
shortfallDcaMax,round21_numbers.py,1544
shortfallDcaMin,round21_numbers.py,1543
shortfallEmpDegenCaseAtDesign,round21_numbers.py,1508
shortfallEmpDegenDcaAtDesign,round21_numbers.py,1508
shortfallEmpDegenWholeAtDesign,round21_numbers.py,1508
shortfallEmpGaussCaseAtDesign,round21_numbers.py,1508
shortfallEmpGaussDcaAtDesign,round21_numbers.py,1508
shortfallEmpGaussWholeAtDesign,round21_numbers.py,1508
shortfallEmpHeavyCaseAtDesign,round21_numbers.py,1508
shortfallEmpHeavyDcaAtDesign,round21_numbers.py,1508
shortfallEmpHeavyWholeAtDesign,round21_numbers.py,1508
shortfallEmpHiDegenCaseAtDesign,round21_numbers.py,1508
shortfallEmpHiDegenDcaAtDesign,round21_numbers.py,1508
shortfallEmpHiDegenWholeAtDesign,round21_numbers.py,1508
shortfallEmpHiGaussCaseAtDesign,round21_numbers.py,1508
shortfallEmpHiGaussDcaAtDesign,round21_numbers.py,1508
shortfallEmpHiGaussWholeAtDesign,round21_numbers.py,1508
shortfallEmpHiHeavyCaseAtDesign,round21_numbers.py,1508
shortfallEmpHiHeavyDcaAtDesign,round21_numbers.py,1508
shortfallEmpHiHeavyWholeAtDesign,round21_numbers.py,1508
shortfallEmpHiNonzeroCaseAtDesign,round21_numbers.py,1508
shortfallEmpHiNonzeroDcaAtDesign,round21_numbers.py,1508
shortfallEmpHiNonzeroWholeAtDesign,round21_numbers.py,1508
shortfallEmpNonzeroCaseAtDesign,round21_numbers.py,1508
shortfallEmpNonzeroDcaAtDesign,round21_numbers.py,1508
shortfallEmpNonzeroWholeAtDesign,round21_numbers.py,1508
shortfallMultDegenCaseAtDesign,round21_numbers.py,1508
shortfallMultDegenDcaAtDesign,round21_numbers.py,1508
shortfallMultDegenWholeAtDesign,round21_numbers.py,1508
shortfallMultGaussCaseAtDesign,round21_numbers.py,1508
shortfallMultGaussDcaAtDesign,round21_numbers.py,1508
shortfallMultGaussWholeAtDesign,round21_numbers.py,1508
shortfallMultHeavyCaseAtDesign,round21_numbers.py,1508
shortfallMultHeavyDcaAtDesign,round21_numbers.py,1508
shortfallMultHeavyWholeAtDesign,round21_numbers.py,1508
shortfallMultHiDegenCaseAtDesign,round21_numbers.py,1508
shortfallMultHiDegenDcaAtDesign,round21_numbers.py,1508
shortfallMultHiDegenWholeAtDesign,round21_numbers.py,1508
shortfallMultHiGaussCaseAtDesign,round21_numbers.py,1508
shortfallMultHiGaussDcaAtDesign,round21_numbers.py,1508
shortfallMultHiGaussWholeAtDesign,round21_numbers.py,1508
shortfallMultHiHeavyCaseAtDesign,round21_numbers.py,1508
shortfallMultHiHeavyDcaAtDesign,round21_numbers.py,1508
shortfallMultHiHeavyWholeAtDesign,round21_numbers.py,1508
shortfallMultHiNonzeroCaseAtDesign,round21_numbers.py,1508
shortfallMultHiNonzeroDcaAtDesign,round21_numbers.py,1508
shortfallMultHiNonzeroWholeAtDesign,round21_numbers.py,1508
shortfallMultNonzeroCaseAtDesign,round21_numbers.py,1508
shortfallMultNonzeroDcaAtDesign,round21_numbers.py,1508
shortfallMultNonzeroWholeAtDesign,round21_numbers.py,1508
shortfallPerThousand,round21_numbers.py,854
shortfallRadDegenCaseAtDesign,round21_numbers.py,1508
shortfallRadDegenDcaAtDesign,round21_numbers.py,1508
shortfallRadDegenWholeAtDesign,round21_numbers.py,1508
shortfallRadGaussCaseAtDesign,round21_numbers.py,1508
shortfallRadGaussDcaAtDesign,round21_numbers.py,1508
shortfallRadGaussWholeAtDesign,round21_numbers.py,1508
shortfallRadHeavyCaseAtDesign,round21_numbers.py,1508
shortfallRadHeavyDcaAtDesign,round21_numbers.py,1508
shortfallRadHeavyWholeAtDesign,round21_numbers.py,1508
shortfallRadNonzeroCaseAtDesign,round21_numbers.py,1508
shortfallRadNonzeroDcaAtDesign,round21_numbers.py,1508
shortfallRadNonzeroWholeAtDesign,round21_numbers.py,1508
shortfallWholeMax,round21_numbers.py,1542
shortfallWholeMin,round21_numbers.py,1541
simCoreNtrain,round21_numbers.py,1319
simCoreReps,round21_numbers.py,1313
simCoverageHalfWidth,round20_numbers.py,591
simCoverageSE,round20_numbers.py,590
simCoverageSEBlock,round20_numbers.py,688
simGridFixedCovA,round21_numbers.py,1394
simGridFixedCovB,round21_numbers.py,1395
simGridFixedK,round21_numbers.py,1391
simGridFixedNa,round21_numbers.py,1392
simGridFixedNb,round21_numbers.py,1393
simGridRatioBad,round20_numbers.py,654
simGridRatioMax,round20_numbers.py,628
simGridRatioMin,round20_numbers.py,627
simGridRatioSafe,round20_numbers.py,643
simGridReps,round21_numbers.py,1309
simGridSEMax,round21_numbers.py,1311
simGridSEMedian,round21_numbers.py,1310
simGridSERatio,round21_numbers.py,1312
simGridSameRatioCovA,round21_numbers.py,1377
simGridSameRatioCovB,round21_numbers.py,1380
simGridSameRatioGapSE,round21_numbers.py,1383
simGridSameRatioKa,round21_numbers.py,1375
simGridSameRatioKb,round21_numbers.py,1378
simGridSameRatioNa,round21_numbers.py,1376
simGridSameRatioNb,round21_numbers.py,1379
simGridWorstCoverage,round20_numbers.py,661
simGridWorstK,round20_numbers.py,662
simGridWorstN,round20_numbers.py,663
simGridWorstRatio,round20_numbers.py,660
simKMax,round20_numbers.py,705
simMcSe,round26_numbers.py,68
simNMax,round20_numbers.py,706
simNoiseRate,make_numbers.py,457
simPrevalence,make_numbers.py,456
sizeHi,make_numbers.py,523
sizeLo,make_numbers.py,522
slopeHi,round21_numbers.py,809
slopeIsoMedian,round20_numbers.py,428
slopeLo,round21_numbers.py,808
slopePlattMedian,round20_numbers.py,429
slopeRawMedian,round20_numbers.py,427
slopeWorstRaw,round20_numbers.py,441
sobolInteractionPct,make_numbers.py,309
sobolLearnerPct,make_numbers.py,305
sobolMaxAxis,make_numbers.py,321
sobolMaxPct,make_numbers.py,320
sobolMetricPct,make_numbers.py,307
sobolQualityPct,make_numbers.py,306
sobolRungPct,make_numbers.py,304
sobolSplitPct,make_numbers.py,308
sobolTargetPct,make_numbers.py,310
sobolTopAxis,make_numbers.py,325
sobolTopPair,make_numbers.py,326
sobolTopPct,make_numbers.py,324
sparseGapLarge,make_numbers.py,532
sparseGapSmall,make_numbers.py,531
spreadFallMedianPct,round21_numbers.py,1000
spreadFallWidestPct,round21_numbers.py,1003
spreadHeadline,make_numbers.py,398
spreadMax,make_numbers.py,401
spreadMedian,make_numbers.py,400
spreadRealisticMax,round26_numbers.py,280
spreadRealisticMedian,round26_numbers.py,279
straddleGapHi,round21_numbers.py,484
straddleGapLo,round21_numbers.py,483
straddleMin,round21_numbers.py,485
straddleRatio,round21_numbers.py,474
stratumPartitionError,round26_numbers.py,93
targetAgreement,make_numbers.py,795
targetAgreementHi,make_numbers.py,797
targetAgreementLo,make_numbers.py,796
tauMatchedRow,round21_numbers.py,1175
tauPlainRow,round21_numbers.py,1176
thetaBase,make_numbers.py,668
thetaBeneficialEmpMin,round27_numbers.py,766
thetaBeneficialWidenedMin,round27_numbers.py,730
thetaCheap,make_numbers.py,668
thetaDear,make_numbers.py,668
tiebreakRange,round21_numbers.py,372
tiebreakRangeSharePct,round27_numbers.py,584
tiebreakSd,round21_numbers.py,373
tiebreakShiftPct,round27_numbers.py,585
topIndexAxis,round20_numbers.py,293
topIndexPair,round20_numbers.py,294
topIndexPct,round20_numbers.py,288
unseenMax,make_numbers.py,656
unseenMin,make_numbers.py,655
widerMChangeAffine,round20_numbers.py,512
widerPsiWorst,round21_numbers.py,177
widerRShiftAffine,round20_numbers.py,513
widerRShiftNonAffine,round21_numbers.py,171
widerRShiftNonAffineMedian,round21_numbers.py,173
widthEmpHiOverMult,round21_numbers.py,1517
widthEmpOverMultAtDesign,round27_numbers.py,336
widthNoisyBefore,make_numbers.py,473
wrssIsotonic,round21_numbers.py,491
wrssRatioOnly,round21_numbers.py,489
wrssWithN,round21_numbers.py,490
zenodoDOI,make_numbers.py,819
