log,target,metric,unit,measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC15_4,handover,auc,AUC,equal-level,weighted-mean,216,False,0.0045380004272212076,0.0,0.0,0.019565476437167686,0.0045380004272212076,0.0045380004272212076,-0.015027476009946479,0.29166666666666663
BPIC15_4,handover,auc,AUC,reference,one-number,216,True,0.020775514314247435,0.018493166213689065,8.102693103284626,0.020775514314247435,0.0022823481005583694,0.0022823481005583694,-0.01849316621368907,0.245
BPIC15_4,handover,auc,AUC,reference,uniform-beneficial,216,False,0.0022823481005583694,0.0,0.0,0.020775514314247435,0.0022823481005583694,0.0022823481005583694,-0.01849316621368907,0.245
BPIC15_4,handover,auc,AUC,reference,majority,216,False,0.0022823481005583694,0.0,0.0,0.020775514314247435,0.0022823481005583694,0.0022823481005583694,-0.01849316621368907,0.245
BPIC15_4,handover,auc,AUC,reference,weighted-mean,216,False,0.0022823481005583694,0.0,0.0,0.020775514314247435,0.0022823481005583694,0.0022823481005583694,-0.01849316621368907,0.245
BPIC15_4,handover,auc,AUC,concentrated,one-number,216,True,0.009903854412116778,0.008195860857291336,4.798531489850358,0.009903854412116778,0.0017079935548254418,0.0017079935548254418,-0.008195860857291334,0.519488
BPIC15_4,handover,auc,AUC,concentrated,uniform-beneficial,216,False,0.0017079935548254418,0.0,0.0,0.009903854412116778,0.0017079935548254418,0.0017079935548254418,-0.008195860857291334,0.519488
BPIC15_4,handover,auc,AUC,concentrated,majority,216,True,0.009903854412116778,0.008195860857291336,4.798531489850358,0.009903854412116778,0.0017079935548254418,0.0017079935548254418,-0.008195860857291334,0.519488
BPIC15_4,handover,auc,AUC,concentrated,weighted-mean,216,False,0.0017079935548254418,0.0,0.0,0.009903854412116778,0.0017079935548254418,0.0017079935548254418,-0.008195860857291334,0.519488
BPIC15_4,handover,brier_skill,Brier skill,equal-level,one-number,216,False,0.01568011264914867,0.0,0.0,0.0468357273814815,0.01568011264914867,0.01568011264914867,-0.031155614732332835,0.38425925925925924
BPIC15_4,handover,brier_skill,Brier skill,equal-level,uniform-beneficial,216,False,0.01568011264914867,0.0,0.0,0.0468357273814815,0.01568011264914867,0.01568011264914867,-0.031155614732332835,0.38425925925925924
BPIC15_4,handover,brier_skill,Brier skill,equal-level,majority,216,False,0.01568011264914867,0.0,0.0,0.0468357273814815,0.01568011264914867,0.01568011264914867,-0.031155614732332835,0.38425925925925924
BPIC15_4,handover,brier_skill,Brier skill,equal-level,weighted-mean,216,False,0.01568011264914867,0.0,0.0,0.0468357273814815,0.01568011264914867,0.01568011264914867,-0.031155614732332835,0.38425925925925924
BPIC15_4,handover,brier_skill,Brier skill,reference,one-number,216,False,0.0112896001737968,0.0,0.0,0.04438411337831266,0.0112896001737968,0.0112896001737968,-0.03309451320451587,0.30374999999999996
BPIC15_4,handover,brier_skill,Brier skill,reference,uniform-beneficial,216,False,0.0112896001737968,0.0,0.0,0.04438411337831266,0.0112896001737968,0.0112896001737968,-0.03309451320451587,0.30374999999999996
BPIC15_4,handover,brier_skill,Brier skill,reference,majority,216,False,0.0112896001737968,0.0,0.0,0.04438411337831266,0.0112896001737968,0.0112896001737968,-0.03309451320451587,0.30374999999999996
BPIC15_4,handover,brier_skill,Brier skill,reference,weighted-mean,216,False,0.0112896001737968,0.0,0.0,0.04438411337831266,0.0112896001737968,0.0112896001737968,-0.03309451320451587,0.30374999999999996
BPIC15_4,handover,brier_skill,Brier skill,concentrated,one-number,216,False,0.006493386688078557,0.0,0.0,0.014080887831538285,0.006493386688078557,0.006493386688078557,-0.007587501143459725,0.23519999999999996
BPIC15_4,handover,brier_skill,Brier skill,concentrated,uniform-beneficial,216,False,0.006493386688078557,0.0,0.0,0.014080887831538285,0.006493386688078557,0.006493386688078557,-0.007587501143459725,0.23519999999999996
BPIC15_4,handover,brier_skill,Brier skill,concentrated,majority,216,False,0.006493386688078557,0.0,0.0,0.014080887831538285,0.006493386688078557,0.006493386688078557,-0.007587501143459725,0.23519999999999996
BPIC15_4,handover,brier_skill,Brier skill,concentrated,weighted-mean,216,False,0.006493386688078557,0.0,0.0,0.014080887831538285,0.006493386688078557,0.006493386688078557,-0.007587501143459725,0.23519999999999996
BPIC15_4,handover,logloss_skill,log-loss skill,equal-level,one-number,216,False,0.012449206986151772,0.0,0.0,0.09044849555540416,0.012449206986151772,0.012449206986151772,-0.0779992885692524,0.4027777777777778
BPIC15_4,handover,logloss_skill,log-loss skill,equal-level,uniform-beneficial,216,False,0.012449206986151772,0.0,0.0,0.09044849555540416,0.012449206986151772,0.012449206986151772,-0.0779992885692524,0.4027777777777778
BPIC15_4,handover,logloss_skill,log-loss skill,equal-level,majority,216,False,0.012449206986151772,0.0,0.0,0.09044849555540416,0.012449206986151772,0.012449206986151772,-0.0779992885692524,0.4027777777777778
BPIC15_4,handover,logloss_skill,log-loss skill,equal-level,weighted-mean,216,False,0.012449206986151772,0.0,0.0,0.09044849555540416,0.012449206986151772,0.012449206986151772,-0.0779992885692524,0.4027777777777778
BPIC15_4,handover,logloss_skill,log-loss skill,reference,one-number,216,False,0.00965864225813812,0.0,0.0,0.09276365872642861,0.00965864225813812,0.00965864225813812,-0.08310501646829048,0.29
BPIC15_4,handover,logloss_skill,log-loss skill,reference,uniform-beneficial,216,False,0.00965864225813812,0.0,0.0,0.09276365872642861,0.00965864225813812,0.00965864225813812,-0.08310501646829048,0.29
BPIC15_4,handover,logloss_skill,log-loss skill,reference,majority,216,False,0.00965864225813812,0.0,0.0,0.09276365872642861,0.00965864225813812,0.00965864225813812,-0.08310501646829048,0.29
BPIC15_4,handover,logloss_skill,log-loss skill,reference,weighted-mean,216,False,0.00965864225813812,0.0,0.0,0.09276365872642861,0.00965864225813812,0.00965864225813812,-0.08310501646829048,0.29
BPIC15_4,handover,logloss_skill,log-loss skill,concentrated,one-number,216,False,0.0033306132656837207,0.0,0.0,0.04718855890796325,0.0033306132656837207,0.0033306132656837207,-0.04385794564227953,0.15103999999999995
BPIC15_4,handover,logloss_skill,log-loss skill,concentrated,uniform-beneficial,216,False,0.0033306132656837207,0.0,0.0,0.04718855890796325,0.0033306132656837207,0.0033306132656837207,-0.04385794564227953,0.15103999999999995
BPIC15_4,handover,logloss_skill,log-loss skill,concentrated,majority,216,False,0.0033306132656837207,0.0,0.0,0.04718855890796325,0.0033306132656837207,0.0033306132656837207,-0.04385794564227953,0.15103999999999995
BPIC15_4,handover,logloss_skill,log-loss skill,concentrated,weighted-mean,216,False,0.0033306132656837207,0.0,0.0,0.04718855890796325,0.0033306132656837207,0.0033306132656837207,-0.04385794564227953,0.15103999999999995
BPIC15_4,handover,nagelkerke,Nagelkerke R2,equal-level,one-number,216,False,0.17544358612596478,0.0,0.0,0.6013755139598569,0.17544358612596478,0.17544358612596478,-0.4259319278338921,0.4027777777777778
BPIC15_4,handover,nagelkerke,Nagelkerke R2,equal-level,uniform-beneficial,216,False,0.17544358612596478,0.0,0.0,0.6013755139598569,0.17544358612596478,0.17544358612596478,-0.4259319278338921,0.4027777777777778
BPIC15_4,handover,nagelkerke,Nagelkerke R2,equal-level,majority,216,False,0.17544358612596478,0.0,0.0,0.6013755139598569,0.17544358612596478,0.17544358612596478,-0.4259319278338921,0.4027777777777778
