log,target,learner,quality,level,rung,metric,V,without_f,with_f,se,lo,hi,n_draws,mean,resolved
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.550,0.007620909423226713,0.06021233649612989,0.0678332459193566,0.009197451148704953,6.0593779303514583e-05,0.035923568397463426,200,0.01348722166595146,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.575,0.010059151682415224,0.04438059017055543,0.05443974185297065,0.007353916798640321,-0.00041366210337661285,0.029984980689457916,200,0.01229122316928488,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.600,0.014912029752539024,0.01795165212415964,0.032863681876698664,0.008266665905124072,0.0009950293234158324,0.03311847375196681,200,0.015981619224717497,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.625,0.019000619844562056,0.0033376245649167913,0.022338244409478847,0.010723627698741328,0.005086301435178592,0.045920349973775816,200,0.02223287083392934,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.650,0.026534115291088504,0.002370394588961315,0.02890450988004982,0.011829663819203381,-0.0006472607638392087,0.04343083965097984,200,0.02283614647403804,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.675,0.01678531738608978,0.0020355842126690282,0.018820901598758807,0.00650182104147776,0.006829385033504564,0.03285199102142313,200,0.02087428341934133,True
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.700,0.006722929480760986,0.009488389834549183,0.01621131931531017,0.00814311462418571,-0.003859128403185034,0.027182568063700962,200,0.010362489867925435,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.725,0.006748936944903191,0.006787948141116499,0.01353688508601969,0.004740171422940993,-0.0017594049492204273,0.01611585024902148,200,0.006476736323324795,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.750,0.0036475468459447845,0.0036475468459447845,0.007295093691889569,0.003647702300589779,-0.0029359176083535977,0.011375339722500368,200,0.00422829352024031,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.775,0.004481952987173986,-0.0005085904098920888,0.003973362577281897,0.003349014857732169,-0.004377652219520341,0.009234094629603132,200,0.0027767049698819105,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g,nb_0.800,0.003003862108425119,-0.0012873694750393447,0.0017164926333857744,0.0030520476150244476,-0.002864397081962526,0.009442497496781575,200,0.0023104706050636526,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,auc,0.0015458679251783014,0.7853493071207333,0.7868951750459116,0.0011538199476547936,-0.0009397807341419761,0.0033852904030121675,200,0.0012291454497309906,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,ap,0.0028685107422128375,0.7232802051597261,0.726148715901939,0.001493073843553481,-0.0005881324912513974,0.005577126580308792,200,0.002438719497766242,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,brier_skill,0.001741331434586657,0.250384667211085,0.25212599864567165,0.0019209255822983983,-0.002657717386032313,0.004852726339769365,200,0.0012897633642764555,False
BPIC14,duration,logit,mask_rare,0.5,B_intake_g_km,nagelkerke,0.002329513069728839,0.3337500995657739,0.33607961263550273,0.0022212413878218633,-0.0035116219051208293,0.005592905334591344,200,0.0014337022710931013,False
