claim_id,macro,value,n_uses,locations,sections,generator,source_line,result_file,verified_independently,unresolved,headline
K647,regretMajorityGainAdjPct,18.7\%,0,,,make_numbers.py,373,s38_facts.csv,False,False,False
K648,regretMajorityGainPct,22.5\%,0,,,make_numbers.py,360,s38_facts.csv,False,False,False
K649,regretMeanRule,0.0232,0,,,make_numbers.py,363,s38_facts.csv,False,False,False
K650,regretOneNumber,0.0370,0,,,make_numbers.py,354,s38_facts.csv,False,False,False
K651,regretOneNumberAdj,0.0236,0,,,make_numbers.py,357,s38_facts.csv,False,False,False
K652,regretOneNumberExcessPct,59.7\%,0,,,make_numbers.py,368,s38_facts.csv,False,False,False
K653,regretOracle,0.0232,0,,,make_numbers.py,364,s38_facts.csv,False,False,False
K654,regretUniformRule,0.0478,0,,,make_numbers.py,355,s38_facts.csv,False,False,False
K655,releaseTag,v20.0,1,90_backmatter.tex:80,Code availability,make_numbers.py,806,s16_facts.csv,False,False,False
K656,repGapMax,0.223,0,,,round20_numbers.py,61,s25_representative.csv,True,False,False
K657,repGapMedian,0.067,2,20_inference.tex:88; 80_limits.tex:45,"Limitations; Three surfaces, and which one a claim may quantify over",round20_numbers.py,60,s25_representative.csv,True,False,True
K658,resolutionLostPct,23.8\%,0,,,round20_numbers.py,127,s21_incomplete.csv,False,False,False
K659,resolutionLostToCalibrationPct,22.4\%,1,40_multilog.tex:179,"Resolution regions, and the coverage they have",round21_numbers.py,350,s33_sensitivity.csv,False,False,False
K660,resultWitnessMax,5,0,,,make_numbers.py,444,s07_prop3.csv,False,False,False
K661,resultWitnessMin,0,0,,,make_numbers.py,443,s07_prop3.csv,False,False,False
K662,rhoMax,0.702,0,,,round20_numbers.py,164,s21_incomplete.csv,False,False,False
K663,rhoMedian,0.117,0,,,round20_numbers.py,162,s21_incomplete.csv,True,False,False
K664,rhoMedianCalibrated,0.017,1,40_multilog.tex:203,"Resolution regions, and the coverage they have",round21_numbers.py,308,s33_regions.csv,True,False,False
K665,rhoMin,-0.117,0,,,round20_numbers.py,163,s21_incomplete.csv,False,False,False
K666,rhoScaDisagree,0.400,0,,,round21_numbers.py,601,s36_verdicts.csv,False,False,False
K667,rhoSensCalibrated,0.017,1,40_multilog.tex:232,"Resolution regions, and the coverage they have",round21_numbers.py,327,s33_sensitivity.csv,False,False,False
K668,rhoSensNominal,0.117,1,40_multilog.tex:231,"Resolution regions, and the coverage they have",round21_numbers.py,327,s33_sensitivity.csv,False,False,False
K669,rhoSensUpper,0.006,1,40_multilog.tex:233,"Resolution regions, and the coverage they have",round21_numbers.py,327,s33_sensitivity.csv,False,False,False
K670,sEncodingPct,10.1\%,2,40_multilog.tex:136; app_secondary.tex:27,The pipeline axis is two axes,round21_numbers.py,615,s37_facts.csv,True,False,False
K671,sFamilyEncodingPct,9.7\%,2,40_multilog.tex:137; app_secondary.tex:33,The pipeline axis is two axes,round21_numbers.py,616,s37_facts.csv,False,False,False
