log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,rep
BPIC14,handover,auc,envelope,0.8538891768166492,0.14611082318335078,0.12911641012111402,learner,0.4366645420125194,learner,0.009492019446974732,0.11087403547760978,960,1.0,28
BPIC14,handover,brier_skill,envelope,0.7182611478416425,0.2817388521583575,0.2641793786574569,learner,0.5736357457496242,learner,0.005418656107108964,0.04529222366181544,960,1.0000000000000002,28
BPIC14,handover,logloss_skill,envelope,0.6850046517878552,0.3149953482121448,0.26704404402325443,rung,0.50626809043287,rung,0.00695909337648578,0.041610480165468026,960,1.0,28
BPIC14,handover,nagelkerke,envelope,0.8470686903791955,0.15293130962080448,0.14944912013493483,learner,0.7691734558935751,learner,0.009271416289440193,0.06014898243155374,960,1.0,28
BPIC14,handover,ap,envelope,0.7541542282167099,0.24584577178329015,0.22720225008405226,rung,0.41825923967168765,rung,0.00019038399912313137,0.010929252790834376,960,0.9999999999999999,29
BPIC14,handover,auc,envelope,0.9104292859870715,0.08957071401292849,0.08445241511518631,rung,0.7661207298828474,rung,0.010311642034142574,0.11573651557907179,960,1.0000000000000002,29
BPIC14,handover,brier_skill,envelope,0.9206049858584231,0.0793950141415769,0.07071046045850038,quality_level,0.7006116958882118,quality_level,0.006843669832028293,0.13383648586593808,960,1.0,29
BPIC14,handover,logloss_skill,envelope,0.742000763159032,0.25799923684096804,0.22065972914081916,rung,0.370658173087471,rung,0.016052772563624577,0.10458564562111772,960,1.0000000000000002,29
BPIC14,handover,nagelkerke,envelope,0.8184053108589111,0.1815946891410889,0.15696043405686777,learner,0.5198242641619517,learner,0.010600123759176613,0.10790946605872703,960,0.9999999999999998,29
BPIC14,handover,ap,envelope,0.7816160471583065,0.21838395284169354,0.15373534164295788,rung,0.3703768991481291,learner,0.00016571448748109395,0.01213984457713231,960,1.0,30
