log,target,metric,split_set,share_resampling,share_analyst,share_counterfactual,share_mixed,check_sum,var_pooled
Sepsis,duration,brier_skill,all,0.7414219272333613,0.03654341099709827,0.17250650783080693,0.04952815393873346,0.9999999999999999,0.007001067852872563
Sepsis,duration,logloss_skill,all,0.6699350464099878,0.13209339240737356,0.14514381936123222,0.0528277418214066,1.0000000000000002,0.014525643775929473
Sepsis,duration,nagelkerke,all,0.7194893212840668,0.04535982500205833,0.15391588492383035,0.08123496879004431,0.9999999999999999,0.06017721337584124
UCI498,duration,ap,all,0.1757366656510751,0.7558650135699705,0.021296154644041214,0.04710216613491319,1.0,0.0005190417424307705
UCI498,duration,auc,all,0.08424330391871689,0.7776081056818004,0.029566122157103462,0.10858246824237947,1.0000000000000002,0.000684838842446307
UCI498,duration,brier_skill,all,0.8111012750833186,0.10950366368281683,0.03633077929296529,0.0430642819408991,0.9999999999999998,0.0001966527355340506
UCI498,duration,logloss_skill,all,0.8423645362855956,0.0877990789032425,0.034864482118050134,0.03497190269311185,1.0,0.00017518099343949192
UCI498,duration,nagelkerke,all,0.8700436613119044,0.06838315511050573,0.02793650584047421,0.03363667773711572,1.0,0.0004371381741290878
UCI498,handover,ap,all,0.2266089035980414,0.7191863692253783,0.010256908803303922,0.04394781837327632,0.9999999999999999,0.00026742077319141236
UCI498,handover,auc,all,0.24573747356642356,0.7234017130913518,0.0074442514832699135,0.023416561858954823,1.0000000000000002,0.0005309263069708199
UCI498,handover,brier_skill,all,0.4236867883658459,0.4101766162577764,0.07292964812621917,0.09320694725015853,1.0,0.0001964021640720892
UCI498,handover,logloss_skill,all,0.4444782004356016,0.37879262253470336,0.08320713382501813,0.09352204320467683,0.9999999999999999,0.00016032153286842332
UCI498,handover,nagelkerke,all,0.48166123463324806,0.34322769158299893,0.07088263163171747,0.10422844215203556,1.0,0.00043425607579341874
BPIC13_closed,handover,ap,rolling,0.8498204196174945,0.07826224862436632,0.033124020039121585,0.038793311719017814,1.0000000000000002,0.0010409648385041382
BPIC13_closed,handover,auc,rolling,0.9133226804067169,0.03788533730426698,0.01990919626266908,0.028882786026347165,1.0000000000000002,0.0010366926151962178
BPIC13_closed,handover,brier_skill,rolling,0.5883841465599727,0.26609741432989426,0.025121300862419683,0.12039713824771317,0.9999999999999999,0.00790672800769471
BPIC13_closed,handover,logloss_skill,rolling,0.5686270357221437,0.3274719686253707,0.03104941236868423,0.07285158328380163,1.0000000000000002,0.024388836795528696
BPIC13_closed,handover,nagelkerke,rolling,0.5900790370772534,0.3092877634250892,0.0341884886047825,0.0664447108928748,0.9999999999999999,0.43693225029705646
BPIC13_incidents,duration,ap,rolling,0.7885062262263699,0.08814665840194574,0.08993824942332897,0.033408865948355376,1.0,0.001090226416609152
BPIC13_incidents,duration,auc,rolling,0.7370306295912573,0.12878900567592638,0.11139231697098063,0.022788047761835732,1.0,0.001525231317353324
