log,target,unit,threshold_measure,rule,n_cells,adopts,loss,excess,rel_excess,L_adopt,L_decline,best,mean,share_positive
BPIC15_4,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,7.719906905010352e-05,7.289832060796304e-05,16.950147535641864,4.300748442140479e-06,7.719906905010352e-05,4.300748442140479e-06,7.289832060796304e-05,0.06924506569454017
BPIC15_4,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,False,7.719906905010352e-05,7.289832060796304e-05,16.950147535641864,4.300748442140479e-06,7.719906905010352e-05,4.300748442140479e-06,7.289832060796304e-05,0.06924506569454017
BPIC15_4,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,4.300748442140479e-06,0.0,0.0,4.300748442140479e-06,7.719906905010352e-05,4.300748442140479e-06,7.289832060796304e-05,0.06924506569454017
BPIC15_4,handover,net benefit (true positives per case),uniform over the declared operating range,one-number,186,False,0.0017742120572497733,0.0,0.0,0.0019185437405097973,0.0017742120572497733,0.0017742120572497733,-0.00014433168326002415,0.16666666666666663
BPIC15_4,handover,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.0017742120572497733,0.0,0.0,0.0019185437405097973,0.0017742120572497733,0.0017742120572497733,-0.00014433168326002415,0.16666666666666663
BPIC15_4,handover,net benefit (true positives per case),uniform over the declared operating range,majority,186,False,0.0017742120572497733,0.0,0.0,0.0019185437405097973,0.0017742120572497733,0.0017742120572497733,-0.00014433168326002415,0.16666666666666663
BPIC15_4,handover,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,False,0.0017742120572497733,0.0,0.0,0.0019185437405097973,0.0017742120572497733,0.0017742120572497733,-0.00014433168326002415,0.16666666666666663
BPIC15_4,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,False,0.00036211666737094106,0.0002640401888301664,2.692186676751383,9.807647854077465e-05,0.00036211666737094106,9.807647854077465e-05,0.0002640401888301664,0.0958017996821401
BPIC15_4,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.00036211666737094106,0.0002640401888301664,2.692186676751383,9.807647854077465e-05,0.00036211666737094106,9.807647854077465e-05,0.0002640401888301664,0.0958017996821401
BPIC15_4,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,majority,186,False,0.00036211666737094106,0.0002640401888301664,2.692186676751383,9.807647854077465e-05,0.00036211666737094106,9.807647854077465e-05,0.0002640401888301664,0.0958017996821401
BPIC15_4,handover,net benefit (true positives per case),concentrated on a 1:4 exchange rate,weighted-mean,186,True,9.807647854077465e-05,0.0,0.0,9.807647854077465e-05,0.00036211666737094106,9.807647854077465e-05,0.0002640401888301664,0.0958017996821401
BPIC15_5,duration,net benefit (true positives per case),uniform over the declared operating range,one-number,186,True,0.013188781016291055,0.0,0.0,0.013188781016291055,0.025756853448166965,0.013188781016291055,0.012568072431875906,0.4946236559139784
BPIC15_5,duration,net benefit (true positives per case),uniform over the declared operating range,uniform-beneficial,186,False,0.025756853448166965,0.01256807243187591,0.952936622145107,0.013188781016291055,0.025756853448166965,0.013188781016291055,0.012568072431875906,0.4946236559139784
BPIC15_5,duration,net benefit (true positives per case),uniform over the declared operating range,majority,186,False,0.025756853448166965,0.01256807243187591,0.952936622145107,0.013188781016291055,0.025756853448166965,0.013188781016291055,0.012568072431875906,0.4946236559139784
BPIC15_5,duration,net benefit (true positives per case),uniform over the declared operating range,weighted-mean,186,True,0.013188781016291055,0.0,0.0,0.013188781016291055,0.025756853448166965,0.013188781016291055,0.012568072431875906,0.4946236559139784
BPIC15_5,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,one-number,186,True,0.0032007893896945955,0.0,0.0,0.0032007893896945955,0.005188955181866135,0.0032007893896945955,0.00198816579217154,0.3158815109893154
BPIC15_5,duration,net benefit (true positives per case),concentrated on a 1:4 exchange rate,uniform-beneficial,186,False,0.005188955181866135,0.00198816579217154,0.6211485824630409,0.0032007893896945955,0.005188955181866135,0.0032007893896945955,0.00198816579217154,0.3158815109893154
