log,target,metric,n_cells,n_draws,var_surface,mean_se,sigma2,rho_mean,noise_independent,noise_correlated,share_independent,share_correlated
BPIC13_incidents,handover,auc,36,400,0.0015220627994179362,0.013711057200158647,0.00022050408057442197,0.1715248076020672,0.00022050408057442197,0.0001826821605784235,0.14487186774339839,0.12002274850175985
BPIC13_incidents,handover,ap,36,400,0.0015852876994683135,0.00833491293144569,8.397625633686783e-05,0.19810637619131735,8.397625633686783e-05,6.73400245078578e-05,0.052972249999184665,0.04247810951314568
BPIC13_incidents,handover,brier_skill,36,400,0.002854448517220949,0.036090454141162236,0.001972689859558481,0.15629352518355236,0.001972689859558481,0.0016643712073142391,0.6910931648117669,0.5830797778530781
BPIC13_incidents,handover,nagelkerke,36,400,0.0042047494159649255,0.12858225363368975,0.03773585467411694,0.1429089422033733,0.03773585467411694,0.032343063599498664,8.974578730147025,7.6920311771008185
BPIC13_incidents,handover,logloss_skill,36,400,0.0018792623033615516,0.054429650712552104,0.005158300255536264,0.14991500995128482,0.005158300255536264,0.00438499362139583,2.7448537898670646,2.3333590066443217
BPIC14,duration,auc,36,400,0.00047166734104041693,0.007457993845955611,5.7860432430153424e-05,0.312641805874228,5.7860432430153424e-05,3.9770842346526515e-05,0.12267211951228862,0.0843196865375476
BPIC14,duration,ap,36,400,0.001298898477465103,0.00960798868024003,9.864397932586969e-05,0.23266406710239154,9.864397932586969e-05,7.569306990074862e-05,0.07594433363135566,0.05827481609530352
BPIC14,duration,brier_skill,36,400,0.0007087838676620979,0.00991285764908824,0.00010537592481786778,0.3041355299383698,0.00010537592481786778,7.332736208063975e-05,0.14867144926061462,0.10345517925303213
BPIC14,duration,nagelkerke,36,400,0.0010564309823623116,0.012751448447155318,0.00017420754910469372,0.29684965231590904,0.00017420754910469372,0.00012249409872215874,0.16490196900051518,0.11595087683650344
BPIC14,duration,logloss_skill,36,400,0.0004252893251194478,0.008208920385498869,7.242794653996615e-05,0.3044457955766191,7.242794653996615e-05,5.037756273362532e-05,0.17030276158383204,0.11845480184454701
BPIC14,handover,auc,36,400,0.0043339725864015395,0.024796149933650542,0.0007906576432639944,0.1542433622731074,0.0007906576432639944,0.0006687039499600248,0.18243254370016002,0.15429353477181174
BPIC14,handover,ap,36,400,6.114360493699102e-05,0.003393770444304412,1.457988509322124e-05,0.20883828845156965,1.457988509322124e-05,1.1535046844532363e-05,0.2384531482604915,0.1886550009018821
BPIC14,handover,brier_skill,36,400,0.002989326616163819,0.021508868529495746,0.00048084109678147885,0.30889506964000224,0.00048084109678147885,0.0003323116527053889,0.16085264627206872,0.1111660569000794
BPIC14,handover,nagelkerke,36,400,0.005664679419607666,0.02290723189043621,0.0005844658535594068,0.26025969938217375,0.0005844658535594068,0.00043235294621289,0.10317721626688042,0.07632434497817259
BPIC14,handover,logloss_skill,36,400,0.004496655778298196,0.02021918554677375,0.00044945664066758706,0.27018208602698085,0.00044945664066758706,0.00032802150791333927,0.09995353498854839,0.07294788039957158
BPIC15_1,duration,auc,36,400,0.001396443112385768,0.043217815449245994,0.0024330916641653213,0.11397096645281268,0.0024330916641653213,0.0021557898557321175,1.7423492891224763,1.5437720567428168
BPIC15_1,duration,ap,36,400,0.0023613067842432668,0.048840761525707516,0.002871457911443498,0.1263891626232169,0.002871457911443498,0.002508536750508343,1.216046102355023,1.062351053767145
BPIC15_1,duration,brier_skill,36,400,0.003015774711573343,0.10533077379107163,0.017524103517489273,0.12646220751210663,0.017524103517489273,0.015307966701996906,5.810813205057639,5.07596493970555
BPIC15_1,duration,nagelkerke,36,400,0.011863842261730696,0.454855293243472,0.5708819195633601,0.130749433384325,0.5708819195633601,0.496239432051095,48.11947992640286,41.82788519127729
BPIC15_1,duration,logloss_skill,36,400,0.0031449329202126084,0.11900467455166486,0.023282275517994756,0.1370587848492038,0.023282275517994756,0.020091235126974027,7.403107191367628,6.388446315610379
BPIC15_1,handover,auc,36,400,0.0006054869570027816,0.03214552314055158,0.0016031588136793,0.11395543156229748,0.0016031588136793,0.0014204701592035747,2.6477181632699236,2.3459962973191657
BPIC15_1,handover,ap,36,400,0.00010413868470101083,0.010642138034393449,0.0002045743943714359,0.09919869132594655,0.0002045743943714359,0.00018428088217099136,1.9644418878419942,1.7695718233821962
BPIC15_1,handover,brier_skill,36,400,0.007991163892495328,0.11686197790135844,0.025238322285569516,0.12937886813902863,0.025238322285569516,0.02197301671453451,3.1582786469029074,2.7496641302989464
