log,target,rung,learner,calibration,arm,n_test,ece,brier,cal_slope,cal_intercept
Helpdesk,duration,B_intake_g,hgb,isotonic,with_f,1374,0.05077924908049759,0.23774881850771956,0.7430565500219598,-0.2015972015641746
Sepsis,duration,B_half,logit,raw,without_f,315,0.08901368285253367,0.24734265707307074,0.5893630604229028,-0.2569266904945142
Sepsis,duration,B_half,logit,raw,with_f,315,0.07690076646547069,0.18283536856539764,1.0006493097255562,-0.28885244235074403
Sepsis,duration,B_half,logit,platt,without_f,315,0.08390334147781521,0.24480156864123478,0.800157100725681,-0.2548844819136145
Sepsis,duration,B_half,logit,platt,with_f,315,0.07106986277296465,0.18340462426119603,1.1366720840057998,-0.31186608528970994
Sepsis,duration,B_half,logit,isotonic,without_f,315,0.07705449688568637,0.24843921436848002,0.5384376531446673,-0.25259011744027215
Sepsis,duration,B_half,logit,isotonic,with_f,315,0.06813495810894046,0.18475630422534334,0.9230727284651462,-0.31781319997245483
Sepsis,duration,B_half,hgb,raw,without_f,315,0.19395033208760737,0.28189047352857627,0.18750763657330569,-0.39729300053563255
Sepsis,duration,B_half,hgb,raw,with_f,315,0.16398181736737835,0.21920696345750015,0.4076296105013319,-0.1921708265924052
Sepsis,duration,B_half,hgb,platt,without_f,315,0.10650031715945157,0.24962783569775718,0.6111223362144508,-0.27383790741371405
Sepsis,duration,B_half,hgb,platt,with_f,315,0.08509420612495325,0.18657989719878051,1.405698398060027,-0.31433361133788496
Sepsis,duration,B_half,hgb,isotonic,without_f,315,0.1040869918435481,0.24882859018887013,0.5437875036155024,-0.2610263360733699
Sepsis,duration,B_half,hgb,isotonic,with_f,315,0.06995203249716071,0.1844318498996994,1.2558353516091971,-0.3275037045170948
Sepsis,duration,B_intake,logit,raw,without_f,315,0.10125323363008858,0.24561029411645607,0.5035331211387424,-0.2626665760531073
Sepsis,duration,B_intake,logit,raw,with_f,315,0.1117040536939337,0.19147111606366793,0.7257591299919727,-0.30060892237961095
Sepsis,duration,B_intake,logit,platt,without_f,315,0.08547555053153309,0.2394376648831874,0.7045597209398259,-0.25581196455972466
Sepsis,duration,B_intake,logit,platt,with_f,315,0.09875978987486175,0.18900205786869292,0.8658122803629761,-0.3187147786200985
Sepsis,duration,B_intake,logit,isotonic,without_f,315,0.12266423656205513,0.24081619106737287,0.5468923721946142,-0.2739514081414671
Sepsis,duration,B_intake,logit,isotonic,with_f,315,0.09660042049501318,0.19022465480447326,0.24549407482280172,-0.3245361317362899
Sepsis,duration,B_intake,hgb,raw,without_f,315,0.21680055813831423,0.28781913739800724,0.18744622599109795,0.05096036101576861
Sepsis,duration,B_intake,hgb,raw,with_f,315,0.20009475785050473,0.2395339194813676,0.282034963382912,-0.7663402133002009
Sepsis,duration,B_intake,hgb,platt,without_f,315,0.08715613302637554,0.24510229143127885,0.7274566319893205,-0.2735778397910588
Sepsis,duration,B_intake,hgb,platt,with_f,315,0.08717598046106485,0.19311612341383633,1.0849751113840287,-0.3380029492258374
Sepsis,duration,B_intake,hgb,isotonic,without_f,315,0.09229761620673994,0.2483135614167032,0.5612919393717871,-0.2921903817777643
Sepsis,duration,B_intake,hgb,isotonic,with_f,315,0.08119129826711556,0.19157992874576593,0.8690551448696456,-0.353541596805526
Sepsis,duration,B_intake_g,logit,raw,without_f,315,0.08977066777293698,0.24520943183609095,0.5059534291245968,-0.2705216657525726
Sepsis,duration,B_intake_g,logit,raw,with_f,315,0.12907706656209994,0.19167223553017396,0.7156232873680812,-0.3067649509260913
Sepsis,duration,B_intake_g,logit,platt,without_f,315,0.07138424219667297,0.23888873252040466,0.7213279081775004,-0.26180236296296633
Sepsis,duration,B_intake_g,logit,platt,with_f,315,0.10292839326470163,0.18891468773369155,0.8601227883393298,-0.3212573915822407
Sepsis,duration,B_intake_g,logit,isotonic,without_f,315,0.0996988657120243,0.2430618233887801,0.494135029765979,-0.28097864066428535
Sepsis,duration,B_intake_g,logit,isotonic,with_f,315,0.08576738419291402,0.19008247946719456,0.2462431047777224,-0.3262185461175509
Sepsis,duration,B_intake_g,hgb,raw,without_f,315,0.17827389269493288,0.2807194282006145,0.21615943147870376,0.13045976864216155
Sepsis,duration,B_intake_g,hgb,raw,with_f,315,0.19812422597841836,0.24203298233136825,0.2784118692146452,-0.8878776331642988
Sepsis,duration,B_intake_g,hgb,platt,without_f,315,0.10452895240533587,0.2449652852682333,0.7407601216473365,-0.2703871988264981
Sepsis,duration,B_intake_g,hgb,platt,with_f,315,0.07788339599838923,0.19229734519477976,1.1160519140772378,-0.32047680364922293
Sepsis,duration,B_intake_g,hgb,isotonic,without_f,315,0.10903606421238125,0.2465028545747947,0.6317691625499843,-0.29583476050579793
Sepsis,duration,B_intake_g,hgb,isotonic,with_f,315,0.06481326972273058,0.18949145582574128,0.9174321574603871,-0.3137241388015054
UCI498,handover,B_half,logit,raw,without_f,7476,0.09570419359539895,0.25132899544736775,1.2208684100346665,0.38497359507686313
UCI498,handover,B_half,logit,raw,with_f,7476,0.10658305527797528,0.2523068526584567,0.4516629873835577,0.4008485288013241
UCI498,handover,B_half,logit,platt,without_f,7476,0.09839048301699703,0.25139402881028655,1.7098669948551377,0.38505301114668294
UCI498,handover,B_half,logit,platt,with_f,7476,0.08556585905734601,0.24654393374659686,1.4044206490199966,0.349536523809874
UCI498,handover,B_half,logit,isotonic,without_f,7476,0.09886312856427926,0.2521058042993999,0.02563808286639367,0.4009242108228268
UCI498,handover,B_half,logit,isotonic,with_f,7476,0.08522504600877877,0.2448092353379235,0.7092749016255706,0.37321764175079136
UCI498,handover,B_half,hgb,raw,without_f,7476,0.10229534376815491,0.25223686085759073,3.310967609499134,0.4088473128162315
UCI498,handover,B_half,hgb,raw,with_f,7476,0.08301048382434287,0.2478859900095081,0.9361694593927552,0.3584001746993993
UCI498,handover,B_half,hgb,platt,without_f,7476,0.09503618638149551,0.25102757197950165,4.798484959570247,0.3710683660833272
UCI498,handover,B_half,hgb,platt,with_f,7476,0.07900364343466508,0.2473456106260156,1.4700750918383754,0.3380067484353875
UCI498,handover,B_half,hgb,isotonic,without_f,7476,0.0907054927555179,0.25215429826461716,-1.7380351357945185,0.3888044931461566
UCI498,handover,B_half,hgb,isotonic,with_f,7476,0.0782399776609127,0.247359336459093,1.410062926796492,0.3346763797773001
UCI498,handover,B_intake,logit,raw,without_f,7476,0.046720828256227295,0.17017726280609824,1.0991638611382133,0.17933959327046956
UCI498,handover,B_intake,logit,raw,with_f,7476,0.041721168881014854,0.17611734119127956,0.9113499174911452,0.19929508830210288
UCI498,handover,B_intake,logit,platt,without_f,7476,0.05917148541086913,0.17244915856243695,1.4293663072223965,0.11216667065729624
UCI498,handover,B_intake,logit,platt,with_f,7476,0.05962060358121209,0.1759134265335055,1.3939516897782078,0.12940252865094115
UCI498,handover,B_intake,logit,isotonic,without_f,7476,0.03303130338666453,0.1681209242221661,1.1121664182028137,0.03491826652613484
UCI498,handover,B_intake,logit,isotonic,with_f,7476,0.0357287640484714,0.1721634959411652,1.084110852255886,0.08928534147215095
UCI498,handover,B_intake,hgb,raw,without_f,7476,0.03650655716615075,0.16398761784320903,1.0890184619137349,0.20172623338096443
