pair,b_lo,b_hi,instrument,population,regime,V_lo,R
B0_half -> B0+g,B0_half,B0+g,nb_0.400,0.75,rare-first,0.0066514089543698,-0.3727598566308592
B0 -> B0+g,B0,B0+g,nb_0.400,0.75,rare-first,0.0066514089543698,-0.3727598566308592
empty -> B0_half,empty,B0_half,nb_0.400,1.0,full,0.0062461259714869,-0.011450381679409816
empty -> B0,empty,B0,nb_0.400,1.0,full,0.0062461259714869,-0.03053435114506642
empty -> B0+g,empty,B0+g,nb_0.400,1.0,full,0.0062461259714869,-0.5267175572519751
B0_half -> B0,B0_half,B0,nb_0.400,1.0,full,0.0063176464978781,-0.018867924528308988
B0_half -> B0+g,B0_half,B0+g,nb_0.400,1.0,full,0.0063176464978781,-0.5094339622641861
B0 -> B0+g,B0,B0+g,nb_0.400,1.0,full,0.0064368473751966,-0.4814814814815056
empty -> B0_half,empty,B0_half,nb_0.425,0.5,random,0.0036444372578408,0.058873720136567886
empty -> B0,empty,B0,nb_0.425,0.5,random,0.0036444372578408,0.058873720136567886
empty -> B0+g,empty,B0+g,nb_0.425,0.5,random,0.0036444372578408,-0.2901023890785239
B0_half -> B0,B0_half,B0,nb_0.425,0.5,random,0.0034298756786674,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.425,0.5,random,0.0034298756786674,-0.3708068902992827
B0 -> B0+g,B0,B0+g,nb_0.425,0.5,random,0.0034298756786674,-0.3708068902992827
empty -> B0_half,empty,B0_half,nb_0.425,0.5,rare-first,0.0059299845142511,-0.024121657052955214
empty -> B0,empty,B0,nb_0.425,0.5,rare-first,0.0059299845142511,-0.024121657052955214
empty -> B0+g,empty,B0+g,nb_0.425,0.5,rare-first,0.0059299845142511,-0.18982695332987065
B0_half -> B0,B0_half,B0,nb_0.425,0.5,rare-first,0.0060730255670332,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.425,0.5,rare-first,0.0060730255670332,-0.1618023553507837
B0 -> B0+g,B0,B0+g,nb_0.425,0.5,rare-first,0.0060730255670332,-0.1618023553507837
empty -> B0_half,empty,B0_half,nb_0.425,0.75,rare-first,0.0073355183372409,-0.041966935142008
empty -> B0,empty,B0,nb_0.425,0.75,rare-first,0.0073355183372409,0.009749894022881178
empty -> B0+g,empty,B0+g,nb_0.425,0.75,rare-first,0.0073355183372409,-0.4056803730394618
B0_half -> B0,B0_half,B0,nb_0.425,0.75,rare-first,0.0076433675595329,0.049633848657434476
B0_half -> B0+g,B0_half,B0+g,nb_0.425,0.75,rare-first,0.0076433675595329,-0.34906427990239797
B0 -> B0+g,B0,B0+g,nb_0.425,0.75,rare-first,0.0072639978108499,-0.41952054794522997
empty -> B0_half,empty,B0_half,nb_0.425,1.0,full,0.0075003265067508,-0.023631840796019432
empty -> B0,empty,B0,nb_0.425,1.0,full,0.0075003265067508,-0.023631840796019432
empty -> B0+g,empty,B0+g,nb_0.425,1.0,full,0.0075003265067508,-0.5120232172471337
B0_half -> B0,B0_half,B0,nb_0.425,1.0,full,0.0076775730286765,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.425,1.0,full,0.0076775730286765,-0.4771162413933123
B0 -> B0+g,B0,B0+g,nb_0.425,1.0,full,0.0076775730286765,-0.4771162413933123
empty -> B0_half,empty,B0_half,nb_0.450,0.5,random,0.0043172390476067,0.1445783132530314
empty -> B0,empty,B0,nb_0.450,0.5,random,0.0043172390476067,0.09939759036148077
empty -> B0+g,empty,B0+g,nb_0.450,0.5,random,0.0043172390476067,-0.2981927710843493
B0_half -> B0,B0_half,B0,nb_0.450,0.5,random,0.0036930599081936,-0.05281690140843365
B0_half -> B0+g,B0_half,B0+g,nb_0.450,0.5,random,0.0036930599081936,-0.5176056338028652
B0 -> B0+g,B0,B0+g,nb_0.450,0.5,random,0.0038881158892601,-0.44147157190642394
empty -> B0_half,empty,B0_half,nb_0.450,0.5,rare-first,0.0066254014902277,0.0
empty -> B0,empty,B0,nb_0.450,0.5,rare-first,0.0066254014902277,0.0
empty -> B0+g,empty,B0+g,nb_0.450,0.5,rare-first,0.0066254014902277,0.08635917566241502
B0_half -> B0,B0_half,B0,nb_0.450,0.5,rare-first,0.0066254014902277,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.450,0.5,rare-first,0.0066254014902277,0.08635917566241502
B0 -> B0+g,B0,B0+g,nb_0.450,0.5,rare-first,0.0066254014902277,0.08635917566241502
empty -> B0_half,empty,B0_half,nb_0.450,0.75,rare-first,0.0086019687650354,0.009826152683286571
empty -> B0,empty,B0,nb_0.450,0.75,rare-first,0.0086019687650354,0.009826152683286571
