world,estimand,interval,coverage,n,mean_width,bias,rmse,truth,mean_estimate,median_shift
nonlinear,V_oracle,nested_pct,0.95,200,0.04393406576455606,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,-0.0012687818905407948
nonlinear,V_oracle,nested_basic,0.935,200,0.04393406576455606,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,-0.0012687818905407948
nonlinear,V_oracle,nested_bc,0.94,200,0.04353721551130972,-0.0021368719252697825,0.011586000549346198,0.16944775747012641,0.16731088554485662,-0.0012687818905407948
nonlinear,V_limit,naive,0.925,200,0.04273145268255498,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,0.00014115599604219904
nonlinear,V_limit,nested,0.95,200,0.04393406576455606,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,-0.0012687818905407948
nonlinear,V_limit,naive_pct,0.925,200,0.04273145268255498,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,0.00014115599604219904
nonlinear,V_limit,naive_basic,0.935,200,0.04273145268255498,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,0.00014115599604219904
nonlinear,V_limit,naive_bc,0.925,200,0.04265554477237836,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,0.00014115599604219904
nonlinear,V_limit,nested_pct,0.95,200,0.04393406576455606,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,-0.0012687818905407948
nonlinear,V_limit,nested_basic,0.935,200,0.04393406576455606,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,-0.0012687818905407948
nonlinear,V_limit,nested_bc,0.94,200,0.04353721551130972,-0.0020877009877616685,0.011577032543736985,0.1693985865326183,0.16731088554485662,-0.0012687818905407948
