log,target,metric,scale,axis,S,S_total,levels,var_total,n_cells
BPIC13_incidents,duration,nb_0.300,raw,rung,0.2798631717105715,0.5993549234349622,3,0.0008291579857048675,216
BPIC13_incidents,duration,nb_0.325,raw,learner,7.399444012990667e-05,0.06161182438574542,2,0.0012867811640623699,216
BPIC13_incidents,duration,nb_0.325,raw,split,0.1422579313810684,0.4776452597241009,6,0.0012867811640623699,216
BPIC13_incidents,duration,nb_0.325,raw,quality_level,0.15459710003711433,0.2705015010404407,6,0.0012867811640623699,216
BPIC13_incidents,duration,nb_0.325,raw,rung,0.3186049195482753,0.650917238557175,3,0.0012867811640623699,216
BPIC13_incidents,duration,nb_0.350,raw,learner,0.0033128831909111575,0.07435681451191878,2,0.0017269193826655246,216
BPIC13_incidents,duration,nb_0.350,raw,split,0.2747715565960693,0.5880360802724245,6,0.0017269193826655246,216
BPIC13_incidents,duration,nb_0.350,raw,quality_level,0.14332997220137844,0.28432674854556483,6,0.0017269193826655246,216
BPIC13_incidents,duration,nb_0.350,raw,rung,0.20466230523401235,0.5145232176603786,3,0.0017269193826655246,216
BPIC13_incidents,duration,nb_0.375,raw,learner,0.003561701341424092,0.19590614250543392,2,0.002541896402485719,216
BPIC13_incidents,duration,nb_0.375,raw,split,0.26565126374009534,0.5675120700489318,6,0.002541896402485719,216
BPIC13_incidents,duration,nb_0.375,raw,quality_level,0.11572892903287067,0.2671896037674796,6,0.002541896402485719,216
BPIC13_incidents,duration,nb_0.375,raw,rung,0.22778175688558308,0.5634674378470983,3,0.002541896402485719,216
BPIC13_incidents,duration,nb_0.400,raw,learner,0.007704583909274813,0.10153066331667449,2,0.003861066432917511,216
BPIC13_incidents,duration,nb_0.400,raw,split,0.3266890044828366,0.6193091733147651,6,0.003861066432917511,216
BPIC13_incidents,duration,nb_0.400,raw,quality_level,0.07122528418030709,0.18343209531808724,6,0.003861066432917511,216
BPIC13_incidents,duration,nb_0.400,raw,rung,0.2541361231460139,0.5203660771986558,3,0.003861066432917511,216
BPIC13_incidents,duration,nb_0.425,raw,learner,0.01598358406544257,0.15609887043024362,2,0.004212133888032359,216
BPIC13_incidents,duration,nb_0.425,raw,split,0.297957435144221,0.6825205135114343,6,0.004212133888032359,216
BPIC13_incidents,duration,nb_0.425,raw,quality_level,0.05218571394689235,0.18131166933029585,6,0.004212133888032359,216
BPIC13_incidents,duration,nb_0.425,raw,rung,0.1837838544193999,0.5498383261760778,3,0.004212133888032359,216
BPIC13_incidents,duration,nb_0.450,raw,learner,0.012260039427258658,0.13374414547753333,2,0.004355404006238104,216
BPIC13_incidents,duration,nb_0.450,raw,split,0.41961733078471875,0.8332076691006216,6,0.004355404006238104,216
BPIC13_incidents,duration,nb_0.450,raw,quality_level,0.05090354843837869,0.20748271897940906,6,0.004355404006238104,216
BPIC13_incidents,duration,nb_0.450,raw,rung,0.03896161924247797,0.42414061171497763,3,0.004355404006238104,216
BPIC13_incidents,duration,nb_0.475,raw,learner,0.011734784901010936,0.20308886634378986,2,0.005382937018287074,216
BPIC13_incidents,duration,nb_0.475,raw,split,0.34604889463094085,0.7849862164658981,6,0.005382937018287074,216
BPIC13_incidents,duration,nb_0.475,raw,quality_level,0.0191683226481352,0.18674998468768045,6,0.005382937018287074,216
BPIC13_incidents,duration,nb_0.475,raw,rung,0.10751420060048043,0.5084522420460074,3,0.005382937018287074,216
BPIC13_incidents,duration,nb_0.500,raw,learner,0.027965804853416116,0.2602289918918066,2,0.006485452640917778,216
BPIC13_incidents,duration,nb_0.500,raw,split,0.22339437526706313,0.744040139463019,6,0.006485452640917778,216
BPIC13_incidents,duration,nb_0.500,raw,quality_level,0.0033078002786011214,0.13826281394437323,6,0.006485452640917778,216
BPIC13_incidents,duration,nb_0.500,raw,rung,0.19674673486198097,0.5823019557899523,3,0.006485452640917778,216
BPIC13_incidents,duration,nb_0.525,raw,learner,0.0026587056326762117,0.23433706965710144,2,0.0035416554642709814,216
