log,target,perm,n_cells,n_cases,capped,median,share_positive,share_dominant
BPIC14,handover,93,24,20000,True,-0.0008876609757615395,0.4583333333333333,0.5416666666666667
BPIC14,handover,94,24,20000,True,-0.002726397447183171,0.3333333333333333,0.6666666666666667
BPIC14,handover,96,24,20000,True,0.0004067998909475512,0.5,0.5
BPIC14,handover,95,24,20000,True,0.0013443551936618836,0.5416666666666666,0.5416666666666666
BPIC14,handover,97,24,20000,True,0.000590342849660086,0.5416666666666666,0.5416666666666666
BPIC14,handover,98,24,20000,True,0.002876547754845582,0.5833333333333334,0.5833333333333334
BPIC14,handover,99,24,20000,True,-0.0003894514000919447,0.5,0.5
BPIC13_closed,handover,-1,24,1487,False,-0.010277362686746228,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,0,24,1487,False,-0.008173993776974864,0.375,0.625
BPIC13_closed,handover,1,24,1487,False,-0.004573170731707321,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,2,24,1487,False,-0.003224430392452182,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,5,24,1487,False,-0.0010484307359307499,0.5,0.5
BPIC13_closed,handover,3,24,1487,False,-0.008565061262385154,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,4,24,1487,False,-0.00554274842892738,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,6,24,1487,False,-0.013052005895840657,0.25,0.75
BPIC13_closed,handover,8,24,1487,False,-0.0065189150343282765,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,10,24,1487,False,-0.011468437683715471,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,7,24,1487,False,-0.008759469696969557,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,9,24,1487,False,-0.007589994505644904,0.375,0.625
BPIC13_closed,handover,11,24,1487,False,-0.009485094850948506,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,12,24,1487,False,-0.00649350649350644,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,14,24,1487,False,-0.0022081702298504258,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,13,24,1487,False,-0.010187694469537378,0.25,0.75
BPIC13_closed,handover,15,24,1487,False,-0.0066182374786711295,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,16,24,1487,False,-0.02397862554112562,0.041666666666666664,0.9583333333333334
BPIC13_closed,handover,17,24,1487,False,-0.013902708283636434,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,18,24,1487,False,-0.01055194805194809,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,20,24,1487,False,-0.009389856103948269,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,19,24,1487,False,-0.005711330787550373,0.375,0.625
BPIC13_closed,handover,21,24,1487,False,-0.012041214425191349,0.25,0.75
BPIC13_closed,handover,22,24,1487,False,-0.00940022319595496,0.16666666666666666,0.8333333333333334
BPIC13_closed,handover,23,24,1487,False,-0.005715638528138611,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,24,24,1487,False,-0.0037639265281541046,0.375,0.625
BPIC13_closed,handover,25,24,1487,False,-0.002725557370713172,0.4583333333333333,0.5416666666666667
BPIC13_closed,handover,30,24,1487,False,-0.003156769332243514,0.375,0.625
BPIC13_closed,handover,27,24,1487,False,-0.009203553961345312,0.25,0.75
BPIC13_closed,handover,29,24,1487,False,0.009006640315922076,0.5833333333333334,0.5833333333333334
BPIC13_closed,handover,28,24,1487,False,0.0010893389958430144,0.5,0.5
BPIC13_closed,handover,26,24,1487,False,-0.008404401887633639,0.375,0.625
BPIC13_closed,handover,32,24,1487,False,0.004768668831168776,0.5416666666666666,0.5416666666666666
BPIC13_closed,handover,34,24,1487,False,-0.006956990866204993,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,31,24,1487,False,-0.013732058616882481,0.375,0.625
BPIC13_closed,handover,33,24,1487,False,-0.0076433982683982715,0.3333333333333333,0.6666666666666667
BPIC13_closed,handover,35,24,1487,False,-0.016734370498767415,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,36,24,1487,False,-0.006778560788553989,0.4166666666666667,0.5833333333333333
BPIC13_closed,handover,37,24,1487,False,0.004805279534276785,0.625,0.625
BPIC13_closed,handover,39,24,1487,False,-0.009279667562187899,0.2916666666666667,0.7083333333333333
BPIC13_closed,handover,38,24,1487,False,-0.008208027982757049,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,40,24,1487,False,-0.00835362554112562,0.20833333333333334,0.7916666666666666
BPIC13_closed,handover,42,24,1487,False,0.002861643274922332,0.5833333333333334,0.5833333333333334
BPIC13_closed,handover,41,24,1487,False,-0.00201370069256257,0.375,0.625
