family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling,ratio_emp_over_mult
whole-surface,gaussian,180,400,q_rad,2000,0.936,180.0,0.00547284204047586,0.9995777777777778,0.9458111111111112,7.133792807033896,3.5690139031926775,3.6408960118841778,1.020079434888053,0.076,0.076,0.0,-0.03874879732939196,0.29008090657173535,0.0,0.9926843828168592
whole-surface,heavy,180,33,q_mult,2000,0.8055,180.0,0.00885069912492793,0.9942749999999999,0.9019916666666665,6.874010674590046,3.4881222183625917,4.812342004736545,1.383302358558176,1.0305,1.0305,0.0,-0.10128685369523027,2.5166574255969385,0.0,1.015432447188032
whole-surface,heavy,180,33,q_mult_hi,2000,0.8095,180.0,0.008780938161722813,0.9943777777777777,0.9019916666666665,6.910703530627414,3.506973728746863,4.812342004736545,1.3750079973932496,1.012,1.012,0.0,-0.10128685369523027,2.5166574255969385,0.0,1.015432447188032
whole-surface,heavy,180,33,q_emp,2000,0.778,180.0,0.009292900515985306,0.9940416666666666,0.9019916666666665,7.164848050693309,3.5349750661776964,4.812342004736545,1.3925473549236465,1.0725,1.0725,0.0,-0.10128685369523027,2.5166574255969385,0.0,1.015432447188032
whole-surface,heavy,180,33,q_emp_hi,2000,0.9045,180.0,0.006571900410079265,0.9969,0.9019916666666665,8.720155672836544,4.556868864816314,4.812342004736545,1.1956319191665141,0.558,0.558,0.0,-0.10128685369523027,2.5166574255969385,0.0,1.015432447188032
whole-surface,heavy,180,33,q_rad,2000,0.7,180.0,0.010246950765959599,0.9925777777777778,0.9019916666666665,6.421831622831227,3.2590232327485675,4.812342004736545,1.4793355769398586,1.336,1.336,0.0,-0.10128685369523027,2.5166574255969385,0.0,1.015432447188032
whole-surface,heavy,180,80,q_mult,2000,0.8805,180.0,0.0072532665055132246,0.9946861111111112,0.9270472222222221,7.055806143638972,3.5522732137322244,4.588289530225608,1.2962461644800964,0.9565,0.9565,0.0,0.2124913615686972,4.41863964873327,0.0,1.0679139244666176
whole-surface,heavy,180,80,q_mult_hi,2000,0.886,180.0,0.007106475919891659,0.9948111111111111,0.9270472222222221,7.091699869259177,3.570281514029526,4.588289530225608,1.2884318792000413,0.934,0.934,0.0,0.2124913615686972,4.41863964873327,0.0,1.0679139244666176
whole-surface,heavy,180,80,q_emp,2000,0.908,180.0,0.006462816723379983,0.9958472222222222,0.9270472222222221,8.12569150411157,3.7886587219861703,4.588289530225608,1.1620239050593513,0.7475,0.7475,0.0,0.2124913615686972,4.41863964873327,0.0,1.0679139244666176
whole-surface,heavy,180,80,q_emp_hi,2000,0.962,180.0,0.004275277768753747,0.9990527777777778,0.9270472222222221,12.06649153482696,6.080572343743793,4.588289530225608,0.8389093208292583,0.1705,0.1705,0.0,0.2124913615686972,4.41863964873327,0.0,1.0679139244666176
whole-surface,heavy,180,80,q_rad,2000,0.8565,180.0,0.007839252196478946,0.9941583333333333,0.9270472222222221,6.821363395730217,3.4343547283541342,4.588289530225608,1.335565571009366,1.0515,1.0515,0.0,0.2124913615686972,4.41863964873327,0.0,1.0679139244666176
