log,target,learner,quality,level,metric,b_lo,b_hi,V_lo,V_hi,D,D_se,D_lo,D_hi,R,R_fieller_lo,R_fieller_hi,fieller_kind,denom_t
BPIC15_3,duration,logit,clean,1.0,auc,B_intake,B_intake_g,0.03625816625366096,0.03537958999774726,0.0008785762559136989,0.004229332021256432,-0.007092684733072221,0.009610518222974127,0.024231127679409048,-19.8229392558336,2.7553481766253363,bounded,1.9608918898385042
BPIC15_3,duration,logit,clean,1.0,brier_skill,B_half,B_intake,0.19935279302129805,0.09799445914568106,0.10135833387561699,0.03494016788733482,0.034098832393049956,0.16992592461634523,0.5084369892163401,0.2200586004533177,0.8950744787976325,bounded,3.660610152092901
BPIC15_3,duration,logit,clean,1.0,brier_skill,B_half,B_intake_g,0.19935279302129805,0.09525002326544763,0.10410276975585042,0.03667103622004741,0.03966378920489732,0.18397178298610647,0.5222037182329746,0.21882513586030516,0.914261675520421,bounded,3.660610152092901
BPIC15_3,duration,logit,clean,1.0,brier_skill,B_intake,B_intake_g,0.09799445914568106,0.09525002326544763,0.002744435880233431,0.007677361736927103,-0.009561520066385014,0.02162941665092353,0.028006031199718007,-0.26663824738119657,0.35385863286721586,bounded,2.250582939109298
BPIC15_3,duration,logit,clean,1.0,logloss_skill,B_half,B_intake,0.15514140236198515,0.07001889552801654,0.0851225068339686,0.027707211734377606,0.029173817708612656,0.140202572870031,0.5486769201386726,0.2504173014696308,1.117702465488367,bounded,3.2567631427449952
BPIC15_3,duration,logit,clean,1.0,logloss_skill,B_half,B_intake_g,0.15514140236198515,0.06876907871813798,0.08637232364384717,0.028876528060802743,0.032050985860567614,0.1479342785633554,0.5567329051359103,0.2456743833729379,1.1287196378732651,bounded,3.2567631427449952
BPIC15_3,duration,logit,clean,1.0,logloss_skill,B_intake,B_intake_g,0.07001889552801654,0.06876907871813798,0.0012498168098785678,0.005974624962298946,-0.007148758719797432,0.017306363920269498,0.017849707574700058,-inf,inf,unbounded,1.734911693922429
BPIC15_3,duration,logit,clean,1.0,nagelkerke,B_half,B_intake,0.2836400687524301,0.11702803764681204,0.16661203110561806,0.061692975134026405,0.05479615307913262,0.301445135467454,0.5874065389930583,0.23619720142438372,1.168006317348008,bounded,3.0683492913051946
BPIC15_3,duration,logit,clean,1.0,nagelkerke,B_half,B_intake_g,0.2836400687524301,0.11450068533624125,0.16913938341618884,0.06430244118306802,0.06574655917621303,0.31874980982328394,0.59631695958944,0.22825441352850595,1.1705264843121908,bounded,3.0683492913051946
BPIC15_3,duration,logit,clean,1.0,nagelkerke,B_intake,B_intake_g,0.11702803764681204,0.11450068533624125,0.002527352310570788,0.011725557059050625,-0.014861090895727968,0.032648224390692725,0.021596126547026917,-inf,inf,unbounded,1.6297775931460161
BPIC15_3,duration,logit,clean,1.0,nb_0.050,B_half,B_intake,0.0,0.0,0.0,0.00039629402953475257,-0.000594127161876308,0.0014091078760731547,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.050,B_half,B_intake_g,0.0,0.0,0.0,0.0006999958719661365,-0.0006221226825929849,0.0013126788602712673,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.050,B_intake,B_intake_g,0.0,0.0,0.0,0.0006065995133245607,-0.00024884907303718284,0.0,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.075,B_half,B_intake,0.0,0.0,0.0,0.0018590478818873552,-0.0016820011500862653,0.004258513832981896,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.075,B_half,B_intake_g,0.0,0.0,0.0,0.0019415760057370137,-0.00187368219283114,0.004493323110344408,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.075,B_intake,B_intake_g,0.0,0.0,0.0,0.000619265747759081,-0.0007235959363618675,0.001410453006197674,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.100,B_half,B_intake,0.0,-0.0007880220646178104,0.0007880220646178104,0.0033841319960254816,-0.0033556606251641473,0.010795902285263961,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.100,B_half,B_intake_g,0.0,-0.0007880220646178104,0.0007880220646178104,0.0035972776181838967,-0.0036774363015498065,0.010973207249802965,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.100,B_intake,B_intake_g,-0.0007880220646178104,-0.0007880220646178104,0.0,0.0015313631181683575,-0.0026530076175466178,0.004728132387706863,0.0,-inf,inf,unbounded,-0.2080455472712611
BPIC15_3,duration,logit,clean,1.0,nb_0.125,B_half,B_intake,-0.0006754474839580915,0.0,-0.0006754474839580915,0.004665286001876528,-0.006416751097602147,0.013280986153326579,1.0,-inf,inf,unbounded,-0.16787854336497207
BPIC15_3,duration,logit,clean,1.0,nb_0.125,B_half,B_intake_g,-0.0006754474839580915,0.0,-0.0006754474839580915,0.0049465812340974465,-0.00641675109760219,0.015197568389057725,1.0,-inf,inf,unbounded,-0.16787854336497207
BPIC15_3,duration,logit,clean,1.0,nb_0.125,B_intake,B_intake_g,0.0,0.0,0.0,0.002441034179239742,-0.004314420803782519,0.007092198581560337,,-inf,inf,unbounded,0.0
BPIC15_3,duration,logit,clean,1.0,nb_0.150,B_half,B_intake,0.00013906271728547637,-0.005284383256848824,0.0054234459741343,0.0068668240587288374,-0.013920178000278127,0.01730287859824778,39.00000000000519,-inf,inf,unbounded,0.02165553129841716
BPIC15_3,duration,logit,clean,1.0,nb_0.150,B_half,B_intake_g,0.00013906271728547637,-0.005284383256848824,0.0054234459741343,0.006758080668210225,-0.013332638019746951,0.016656236962870264,39.00000000000519,-inf,inf,unbounded,0.02165553129841716
BPIC15_3,duration,logit,clean,1.0,nb_0.150,B_intake,B_intake_g,-0.005284383256848824,-0.005284383256848824,0.0,0.002842207193134426,-0.005638993185926887,0.007415519399249072,0.0,-inf,inf,unbounded,-0.6950390839210985
BPIC15_3,duration,logit,clean,1.0,nb_0.175,B_half,B_intake,-0.0015760441292356209,-0.0016476824987463057,7.163836951068481e-05,0.008853589889785638,-0.016786660935597088,0.02146643742388424,-0.04545454545452943,-inf,inf,unbounded,-0.14267313143157637
BPIC15_3,duration,logit,clean,1.0,nb_0.175,B_half,B_intake_g,-0.0015760441292356209,-0.002149151085321266,0.000573106956085645,0.009116839684429598,-0.017057095780500024,0.025134321942832563,-0.36363636363634133,-inf,inf,unbounded,-0.14267313143157637
BPIC15_3,duration,logit,clean,1.0,nb_0.175,B_intake,B_intake_g,-0.0016476824987463057,-0.002149151085321266,0.0005014685865749602,0.003387530700155189,-0.006073142775270414,0.009158965541944258,-0.304347826086955,-inf,inf,unbounded,-0.16082639113052308
BPIC15_3,duration,logit,clean,1.0,nb_0.200,B_half,B_intake,-0.0005910165484633301,0.0017730496453901567,-0.002364066193853487,0.010005488432529127,-0.016548463356974005,0.023049645390070927,4.000000000000282,-inf,inf,unbounded,-0.04234482118323188
BPIC15_3,duration,logit,clean,1.0,nb_0.200,B_half,B_intake_g,-0.0005910165484633301,0.0017730496453901567,-0.002364066193853487,0.009414069904856905,-0.01641548463356977,0.021276595744680882,4.000000000000282,-inf,inf,unbounded,-0.04234482118323188
BPIC15_3,duration,logit,clean,1.0,nb_0.200,B_intake,B_intake_g,0.0017730496453901567,0.0017730496453901567,0.0,0.00411193029957099,-0.011879432624113463,0.009781323877068551,0.0,-inf,inf,unbounded,0.13766016956263982
BPIC15_3,duration,logit,clean,1.0,nb_0.225,B_half,B_intake,0.02432700373674984,0.012659193167086191,0.01166781056966365,0.009931944709872067,-0.01962174940898341,0.021434835659269437,0.47962382445140794,-inf,inf,unbounded,1.572977532989927
BPIC15_3,duration,logit,clean,1.0,nb_0.225,B_half,B_intake_g,0.02432700373674984,0.012659193167086191,0.01166781056966365,0.009964665893351609,-0.01704796766567532,0.023198352779684267,0.47962382445140794,-inf,inf,unbounded,1.572977532989927
BPIC15_3,duration,logit,clean,1.0,nb_0.225,B_intake,B_intake_g,0.012659193167086191,0.012659193167086191,0.0,0.004552465581083955,-0.01002059025394645,0.009456264775413769,0.0,-inf,inf,unbounded,0.9093874629729017
BPIC15_3,duration,logit,clean,1.0,nb_0.250,B_half,B_intake,0.03073286052009455,0.03073286052009455,0.0,0.011874205534340983,-0.023640661938534244,0.027580772261623292,0.0,0.984170800692901,4.349310454039122,exclusive,1.840548456232138
