log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,sim_lo,sim_hi,sim_resolved
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.675,0.013077253171660308,0.005722055936953449,4.778936706363567,-0.014268089981312099,0.040422596324632715,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.700,0.018619177037142998,0.0059855655269289145,4.778936706363567,-0.009985461767841975,0.04722381584212797,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.725,0.026430085434519635,0.006375361039513016,4.778936706363567,-0.004037361453529301,0.05689753232256857,False
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.750,0.03340008582463161,0.006614182576482045,4.778936706363567,0.0017913259272912194,0.06500884572197199,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.775,0.04570161636389647,0.007112977612669427,4.778936706363567,0.01170914655916825,0.0796940861686247,True
BPIC14,handover,hgb,stale,1.0,B_half,decision-curve,31,nb_0.800,0.060720926906022044,0.01961581443549184,4.778936706363567,-0.033021808724966226,0.15446366253701033,False
BPIC14,handover,hgb,stale,1.0,B_intake,scalars,5,ap,0.031476815325431784,0.00387737522160382,2.878027512509873,0.02031762276133192,0.042636007889531646,True
BPIC14,handover,hgb,stale,1.0,B_intake,scalars,5,auc,0.267624514790206,0.029841759235263995,2.878027512509873,0.1817391106894206,0.35350991889099137,True
BPIC14,handover,hgb,stale,1.0,B_intake,scalars,5,brier_skill,0.2816846235812598,0.022125998626922456,2.878027512509873,0.21800539079122128,0.3453638563712983,True
BPIC14,handover,hgb,stale,1.0,B_intake,scalars,5,logloss_skill,0.3304689673400133,0.025131358951308105,2.878027512509873,0.2581402248513873,0.40279770982863927,True
BPIC14,handover,hgb,stale,1.0,B_intake,scalars,5,nagelkerke,0.3733296394069584,0.02831995855088837,2.878027512509873,0.29182401954436243,0.45483525926955437,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.050,0.0,0.0001330501963135853,4.311125661637676,-0.0005735961156134281,0.0005735961156134281,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.075,0.0,0.00016221137263185871,4.311125661637676,-0.0006993136111626775,0.0006993136111626775,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.100,0.0,0.00018593249632727405,4.311125661637676,-0.000801578356248864,0.000801578356248864,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.125,6.130330833520325e-05,0.00031452595955712334,4.311125661637676,-0.001294657627162725,0.0014172642438331315,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.150,7.572761617880008e-05,0.0005452852076219288,4.311125661637676,-0.0022750654353115253,0.0024265206676691254,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.175,9.10261244977395e-05,0.0008521585106300343,4.311125661637676,-0.003582736298462344,0.003764788547457823,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.200,0.0016270919753968993,0.0009211758434386779,4.311125661637676,-0.0023442128421323153,0.005598396792926114,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.225,0.0011650924460481216,0.0009274427760787761,4.311125661637676,-0.0028332299056055754,0.0051634147977018185,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.250,0.0018356935107041172,0.0008908473379469569,4.311125661637676,-0.00200486130852062,0.005676248329928854,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.275,0.0025796714001745658,0.0009284404546185811,4.311125661637676,-0.001422952069034149,0.0065822948693832805,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.300,0.0032082064695424517,0.0009635019142362538,4.311125661637676,-0.000945571357958485,0.007361984297043388,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.325,0.004201168698379387,0.0010483521785233185,4.311125661637676,-0.000318409280886253,0.008720746677645028,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.350,0.005143976321204224,0.0010436861990566664,4.311125661637676,0.0006445139657539423,0.009643438676654507,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.375,0.006150765269632319,0.0011350839616151853,4.311125661637676,0.0012572756745997385,0.011044254864664899,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.400,0.007318933867353161,0.0012538113071417232,4.311125661637676,0.0019135957662830012,0.012724271968423321,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.425,0.008641545340904111,0.0013628487448388558,4.311125661637676,0.0027661331440986224,0.0145169575377096,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.450,0.010032379292857052,0.0014464395773428056,4.311125661637676,0.003796596512966129,0.016268162072747977,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.475,0.012117620614259028,0.0016506065024931363,4.311125661637676,0.005001648564094856,0.0192335926644232,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.500,0.012802174224002205,0.001769336960508812,4.311125661637676,0.005174340249468659,0.02043000819853575,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.525,0.015787215141271793,0.0018591392528283343,4.311125661637676,0.0077722321998456665,0.02380219808269792,True
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.550,0.018190053878796575,0.004316129089257926,4.311125661637676,-0.00041732099684411994,0.03679742875443727,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.575,0.02103544893855125,0.008811410831418528,4.311125661637676,-0.016951650412009335,0.05902254828911183,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.600,0.006007724216850141,0.009827342963097663,4.311125661637676,-0.03635918621707463,0.04837463465077491,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.625,0.003862108425118027,0.00642135403597847,4.311125661637676,-0.023821155741849415,0.031545372592085466,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.650,0.009430492265565915,0.005021071806109073,4.311125661637676,-0.012215979246676341,0.03107696377780817,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.675,0.016730301596558195,0.005455136516087456,4.311125661637676,-0.006787477425683183,0.04024808061879957,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.700,0.019119820721880565,0.005955622375940929,4.311125661637676,-0.00655561573406192,0.04479525717782305,False
BPIC14,handover,hgb,stale,1.0,B_intake,decision-curve,31,nb_0.725,0.02451203495403176,0.006369094530544245,4.311125661637676,-0.002945931917993704,0.051970001826057224,False
