log,target,admitted,threshold,excess_one_number_per_1000,excess_majority_per_1000,excess_uniform_per_1000,share_positive
BPIC15_3,duration,True,0.375,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.4,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.425,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.45,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.475,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.5,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.525,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.55,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.575,0.0,0.0,0.0,1.0
BPIC15_3,duration,True,0.6,8.27423167848702,8.27423167848702,8.27423167848702,0.4
BPIC15_3,duration,True,0.625,0.0,0.0,0.0,0.2
BPIC15_3,duration,True,0.65,0.0,0.0,0.0,0.2
BPIC15_3,duration,True,0.675,0.0,0.0,0.0,0.0
BPIC15_3,duration,True,0.7,0.0,0.0,0.0,0.2
BPIC15_3,duration,True,0.725,0.0,0.0,0.0,0.2
BPIC15_3,duration,True,0.75,0.0,0.0,0.0,0.2
BPIC15_3,duration,True,0.775,0.0,0.0,0.0,0.2
BPIC15_3,duration,True,0.8,0.0,0.0,0.0,0.2
BPIC15_3,handover,True,0.05,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.075,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.1,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.125,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.15,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.175,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.2,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.225,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.25,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.275,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.3,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.325,0.59101654846335,0.59101654846335,0.59101654846335,0.25
BPIC15_3,handover,True,0.35,0.59101654846335,0.59101654846335,0.59101654846335,0.25
BPIC15_3,handover,True,0.375,0.0,0.0,1.30023640661935,0.75
BPIC15_3,handover,True,0.4,0.0,0.0,1.37903861308115,0.75
BPIC15_3,handover,True,0.425,0.0,0.0,1.31051495528825,0.75
BPIC15_3,handover,True,0.45,0.0,0.0,0.0,1.0
BPIC15_3,handover,True,0.475,0.0,0.0,1.54790048407065,0.75
BPIC15_3,handover,True,0.5,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.525,0.0,0.0,0.0,1.0
BPIC15_3,handover,True,0.55,0.0,0.0,0.0,0.5
BPIC15_3,handover,True,0.575,1.1472674176053752,0.0,0.0,0.5
BPIC15_3,handover,True,0.6,0.0,0.0,0.0,0.25
BPIC15_3,handover,True,0.625,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.65,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.675,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.7,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.725,0.0,0.0,0.0,0.0
BPIC15_3,handover,True,0.75,0.0,0.0,0.0,0.25
BPIC15_3,handover,True,0.775,0.0,7.354872603099551,7.354872603099551,0.5
BPIC15_3,handover,True,0.8,0.0,0.0,25.41371158392431,0.75
BPIC15_4,handover,True,0.05,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.075,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.1,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.125,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.15,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.175,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.2,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.225,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.25,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.275,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.3,0.0,0.0,0.0,0.0
BPIC15_4,handover,True,0.325,0.0,0.0,0.0,0.0
