term,order,share,variance,log,target,metric,total_variance
encoding x quality_level x rung x split,4,0.0007202835038022182,3.4384328086570028e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family x encoding x quality_level x rung x split,5,0.0011264917170108904,5.3775576672295805e-06,BPIC14,duration,nagelkerke,0.004773721445106367
family,1,0.054552714842583866,1.3448837991672812e-05,BPIC14,handover,ap,0.0002465292154658203
encoding,1,0.17853546884733607,4.4014209067756165e-05,BPIC14,handover,ap,0.0002465292154658203
quality_level,1,0.03090361709000518,7.618644476255094e-06,BPIC14,handover,ap,0.0002465292154658203
rung,1,0.3807994352929504,9.387818603259848e-05,BPIC14,handover,ap,0.0002465292154658203
split,1,0.007502193261171199,1.8495098189494997e-06,BPIC14,handover,ap,0.0002465292154658203
family x encoding,2,0.11264610742082652,2.777055648773488e-05,BPIC14,handover,ap,0.0002465292154658203
family x quality_level,2,0.011121569743429743,2.741791863596139e-06,BPIC14,handover,ap,0.0002465292154658203
family x rung,2,0.01213043919633535,2.9905076583283896e-06,BPIC14,handover,ap,0.0002465292154658203
family x split,2,0.0016483934554921867,4.0637714536148135e-07,BPIC14,handover,ap,0.0002465292154658203
encoding x quality_level,2,0.0022867137205245494,5.637417395158442e-07,BPIC14,handover,ap,0.0002465292154658203
encoding x rung,2,0.06263618352967097,1.544164918534292e-05,BPIC14,handover,ap,0.0002465292154658203
encoding x split,2,0.009009542967641782,2.221115559518327e-06,BPIC14,handover,ap,0.0002465292154658203
quality_level x rung,2,0.015553998780519848,3.834515116717884e-06,BPIC14,handover,ap,0.0002465292154658203
quality_level x split,2,0.0009232556694988031,2.276094958759106e-07,BPIC14,handover,ap,0.0002465292154658203
rung x split,2,0.013259815713735305,3.2689319651285207e-06,BPIC14,handover,ap,0.0002465292154658203
family x encoding x quality_level,3,0.015193236301165652,3.74557662571319e-06,BPIC14,handover,ap,0.0002465292154658203
family x encoding x rung,3,0.03868713994241933,9.537510258621038e-06,BPIC14,handover,ap,0.0002465292154658203
family x encoding x split,3,0.0016545360238840285,4.078914679280673e-07,BPIC14,handover,ap,0.0002465292154658203
family x quality_level x rung,3,0.004342343270283261,1.070514479706217e-06,BPIC14,handover,ap,0.0002465292154658203
family x quality_level x split,3,0.008375024252972712,2.064688158592581e-06,BPIC14,handover,ap,0.0002465292154658203
family x rung x split,3,0.0025933501974914255,6.393365896156913e-07,BPIC14,handover,ap,0.0002465292154658203
encoding x quality_level x rung,3,0.0028428723964146582,7.008511015575422e-07,BPIC14,handover,ap,0.0002465292154658203
encoding x quality_level x split,3,0.0004756337959384163,1.1725762656172784e-07,BPIC14,handover,ap,0.0002465292154658203
encoding x rung x split,3,0.00707987671750657,1.7453964527616218e-06,BPIC14,handover,ap,0.0002465292154658203
quality_level x rung x split,3,0.0016712481988148376,4.1201150730248723e-07,BPIC14,handover,ap,0.0002465292154658203
family x encoding x quality_level x rung,4,0.0053591614082061775,1.3211898575197698e-06,BPIC14,handover,ap,0.0002465292154658203
family x encoding x quality_level x split,4,0.008549974080598497,2.107818402343046e-06,BPIC14,handover,ap,0.0002465292154658203
family x encoding x rung x split,4,0.0003927511322422421,9.68246285049926e-08,BPIC14,handover,ap,0.0002465292154658203
family x quality_level x rung x split,4,0.0032980095173896313,8.130556989208744e-07,BPIC14,handover,ap,0.0002465292154658203
encoding x quality_level x rung x split,4,0.0018661637007203796,4.6006387306938706e-07,BPIC14,handover,ap,0.0002465292154658203
family x encoding x quality_level x rung x split,5,0.004109229532230099,1.0130451327496662e-06,BPIC14,handover,ap,0.0002465292154658203
family,1,0.040439366681803035,0.00034647754798031855,BPIC14,handover,auc,0.00856782824287471
encoding,1,0.13751919604822704,0.0011782408518394238,BPIC14,handover,auc,0.00856782824287471
quality_level,1,0.05570123217436037,0.00047723859018640626,BPIC14,handover,auc,0.00856782824287471
rung,1,0.457650134281708,0.003921067745854221,BPIC14,handover,auc,0.00856782824287471
split,1,0.021645494726945814,0.00018545488105252194,BPIC14,handover,auc,0.00856782824287471
family x encoding,2,0.10435891767688368,0.0008941292822678407,BPIC14,handover,auc,0.00856782824287471
family x quality_level,2,0.007899157092298482,6.7678621230299e-05,BPIC14,handover,auc,0.00856782824287471
family x rung,2,0.012774256895934444,0.00010944763901472415,BPIC14,handover,auc,0.00856782824287471
family x split,2,0.00401371272779537,3.4388801267990865e-05,BPIC14,handover,auc,0.00856782824287471
encoding x quality_level,2,0.0038968038160473468,3.33871457920724e-05,BPIC14,handover,auc,0.00856782824287471
encoding x rung,2,0.05414635984068673,0.0004639167110918927,BPIC14,handover,auc,0.00856782824287471
encoding x split,2,0.000965718674288985,8.274111732244688e-06,BPIC14,handover,auc,0.00856782824287471
quality_level x rung,2,0.020704721943177826,0.0001773945014256267,BPIC14,handover,auc,0.00856782824287471
quality_level x split,2,0.000678004367485481,5.809024968534508e-06,BPIC14,handover,auc,0.00856782824287471
rung x split,2,0.005848307239099728,5.010729193616727e-05,BPIC14,handover,auc,0.00856782824287471
family x encoding x quality_level,3,0.011196644051836981,9.5930923132744e-05,BPIC14,handover,auc,0.00856782824287471
family x encoding x rung,3,0.04005047636373792,0.00034314560252981976,BPIC14,handover,auc,0.00856782824287471
family x encoding x split,3,0.0009869687389888688,8.456178636743268e-06,BPIC14,handover,auc,0.00856782824287471
family x quality_level x rung,3,0.0023941338676583667,2.0512527768546215e-05,BPIC14,handover,auc,0.00856782824287471
family x quality_level x split,3,0.0012551015515233522,1.0753494520817644e-05,BPIC14,handover,auc,0.00856782824287471
family x rung x split,3,0.0032604328496554542,2.793482865327447e-05,BPIC14,handover,auc,0.00856782824287471
encoding x quality_level x rung,3,0.0020773652012390093,1.7798508241940688e-05,BPIC14,handover,auc,0.00856782824287471
encoding x quality_level x split,3,0.00043326891179935287,3.712173619274087e-06,BPIC14,handover,auc,0.00856782824287471
encoding x rung x split,3,0.002028442723505409,1.7379348855503337e-05,BPIC14,handover,auc,0.00856782824287471
quality_level x rung x split,3,0.00019612450384956864,1.6803610632021238e-06,BPIC14,handover,auc,0.00856782824287471
family x encoding x quality_level x rung,4,0.0046772759032138265,4.007409658327274e-05,BPIC14,handover,auc,0.00856782824287471
family x encoding x quality_level x split,4,0.0007846939010981817,6.723122567840535e-06,BPIC14,handover,auc,0.00856782824287471
family x encoding x rung x split,4,0.0006969193001584671,5.9710848629021916e-06,BPIC14,handover,auc,0.00856782824287471
family x quality_level x rung x split,4,0.0005282576629486403,4.526020924126349e-06,BPIC14,handover,auc,0.00856782824287471
encoding x quality_level x rung x split,4,0.0006123640774240249,5.246630237475475e-06,BPIC14,handover,auc,0.00856782824287471
family x encoding x quality_level x rung x split,5,0.0005801462046203026,4.970593036942399e-06,BPIC14,handover,auc,0.00856782824287471
family,1,0.05485113130286209,0.000513381513264987,BPIC14,handover,brier_skill,0.00935954284024401
encoding,1,0.10276980840530783,0.0009618784244531476,BPIC14,handover,brier_skill,0.00935954284024401
quality_level,1,0.10909687177329673,0.0010210968450987783,BPIC14,handover,brier_skill,0.00935954284024401
rung,1,0.45111905101952937,0.0042222680840675085,BPIC14,handover,brier_skill,0.00935954284024401
split,1,0.006109163384969489,5.7178976419672045e-05,BPIC14,handover,brier_skill,0.00935954284024401
family x encoding,2,0.1002326405731079,0.0009381316934347834,BPIC14,handover,brier_skill,0.00935954284024401
family x quality_level,2,0.00798952038423067,7.477825830920974e-05,BPIC14,handover,brier_skill,0.00935954284024401
family x rung,2,0.021890708608891293,0.00020488702502821643,BPIC14,handover,brier_skill,0.00935954284024401
family x split,2,1.627009300612925e-05,1.5228063250562115e-07,BPIC14,handover,brier_skill,0.00935954284024401
