target,learner,mechanism,meaning,metric,n_levels,n_seeds,integral_fine,integral_coarse,grid_shift,V_at_clean,V_at_half,V_at_empty,seed_sd_median,seed_sd_max,n_sign_changes
handover,logit,corrupt,accuracy: a share of rows carry the wrong identity,ap,11,20,0.01245682803477566,0.013550637689051032,0.0010938096542753729,0.008035046149870329,0.011967687610471367,0.018701821616368797,0.0007875750320937765,0.0009457029705954579,0
handover,logit,corrupt,accuracy: a share of rows carry the wrong identity,auc,11,20,0.11277446370587281,0.12268123714371852,0.009906773437845712,0.06761904482026693,0.1110239107079638,0.16727153256753435,0.0053981691841806885,0.006983262916475333,0
handover,logit,corrupt,accuracy: a share of rows carry the wrong identity,brier_skill,11,20,0.14746344930018862,0.16605424002220429,0.018590790722015665,0.06887093215488936,0.1429583754457109,0.24739517453404947,0.007143481639558025,0.009137745818779363,0
handover,logit,corrupt,accuracy: a share of rows carry the wrong identity,logloss_skill,11,20,0.1370457795554023,0.15582660264275724,0.01878082308735496,0.060777952238906655,0.13117371770623232,0.24099425953417297,0.006549948885025925,0.00782964138544105,0
handover,logit,corrupt,accuracy: a share of rows carry the wrong identity,nagelkerke,11,20,0.15432553174203395,0.17475804606876358,0.02043251432672963,0.06985708126190382,0.14850015296412172,0.2664938725548428,0.007213541780721554,0.008628629269050971,0
handover,logit,duplicate,reconciliation: one item exists under two keys,ap,11,20,0.018543747042986673,0.01858840978661419,4.466274362751807e-05,0.01835930866986659,0.01855284013454735,0.01869985673291256,0.00013441713439364992,0.00023580838168353978,0
handover,logit,duplicate,reconciliation: one item exists under two keys,auc,11,20,0.16502957944895497,0.16566055603936045,0.0006309765904054798,0.16270907385778138,0.16502170059315707,0.16727258704932396,0.0009909912814097554,0.0015230527146328956,0
handover,logit,duplicate,reconciliation: one item exists under two keys,brier_skill,11,20,0.24339944972628152,0.24443139818731197,0.0010319484610304408,0.24005605684775405,0.2431133435884779,0.2472876614002411,0.0019679981647962824,0.0024106089698484818,0
handover,logit,duplicate,reconciliation: one item exists under two keys,logloss_skill,11,20,0.2348243186748634,0.23632129558058218,0.0014969769057187887,0.2290549660175812,0.2346171919028603,0.2408975554905805,0.0017290190576547135,0.002132351018925252,0
handover,logit,duplicate,reconciliation: one item exists under two keys,nagelkerke,11,20,0.2600104582780705,0.2615846431988901,0.0015741849208195657,0.2539380834444018,0.2597952774803438,0.2663924259436017,0.0018220804632159313,0.002248255451005118,0
handover,logit,mask_common,population: the core identities are absent,ap,11,1,0.011466086245177365,0.009405995573582654,0.002060090671594711,0.018701821616368797,0.01121237005019693,0.0014835766143959095,0.0,0.0,0
handover,logit,mask_common,population: the core identities are absent,auc,11,1,0.10388568390083384,0.08633880811058997,0.017546875790243874,0.16727153256753435,0.1055082375030818,0.013613927891818811,0.0,0.0,0
handover,logit,mask_common,population: the core identities are absent,brier_skill,11,1,0.13361909876169564,0.09676548377839414,0.0368536149833015,0.24739517453404947,0.09748634829349223,0.003927301201936406,0.0,0.0,0
handover,logit,mask_common,population: the core identities are absent,logloss_skill,11,1,0.1308209126725672,0.09786606980020779,0.03295484287235942,0.24099425953417297,0.10341940840371588,0.0028197731737181764,0.0,0.0,0
