term,order,share,variance,log,target,metric,total_variance
family x encoding,2,0.05781555722478905,9.899277778248236e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x quality_level,2,0.007653125473640878,1.3103811252877717e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x rung,2,0.03407631324262578,5.834604155691111e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x split,2,0.0013630185787521236,2.33378353087898e-06,UCI498,duration,nagelkerke,0.0017122169626004767
encoding x quality_level,2,0.009361914220862393,1.6029628331371215e-05,UCI498,duration,nagelkerke,0.0017122169626004767
encoding x rung,2,0.09026209059036783,0.00015454828258860867,UCI498,duration,nagelkerke,0.0017122169626004767
encoding x split,2,0.029874397576146013,5.115145027734777e-05,UCI498,duration,nagelkerke,0.0017122169626004767
quality_level x rung,2,0.004876588629357305,8.349777770810187e-06,UCI498,duration,nagelkerke,0.0017122169626004767
quality_level x split,2,0.005315192787586744,9.100763250397735e-06,UCI498,duration,nagelkerke,0.0017122169626004767
rung x split,2,0.09979230674096519,0.00017086608033891048,UCI498,duration,nagelkerke,0.0017122169626004767
family x encoding x quality_level,3,0.016032465816947027,2.7451059924089008e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x encoding x rung,3,0.043887191399975566,7.514439355593193e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x encoding x split,3,0.019383917965360896,3.3189473141947046e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x quality_level x rung,3,0.0039002482849437308,6.6780712718340735e-06,UCI498,duration,nagelkerke,0.0017122169626004767
family x quality_level x split,3,0.0028572993614628334,4.892316433924174e-06,UCI498,duration,nagelkerke,0.0017122169626004767
family x rung x split,3,0.06829067768743234,0.00011692845672390355,UCI498,duration,nagelkerke,0.0017122169626004767
encoding x quality_level x rung,3,0.027523337490250856,4.7125925318185146e-05,UCI498,duration,nagelkerke,0.0017122169626004767
encoding x quality_level x split,3,0.012060518469882153,2.065022430188857e-05,UCI498,duration,nagelkerke,0.0017122169626004767
encoding x rung x split,3,0.10636832075393313,0.0001821256430782126,UCI498,duration,nagelkerke,0.0017122169626004767
quality_level x rung x split,3,0.004909843137082212,8.4067167030197e-06,UCI498,duration,nagelkerke,0.0017122169626004767
family x encoding x quality_level x rung,4,0.027650265562587328,4.7343253716669836e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x encoding x quality_level x split,4,0.01675803194982871,2.8693386564297456e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x encoding x rung x split,4,0.08538374879732699,0.00014619550302120133,UCI498,duration,nagelkerke,0.0017122169626004767
family x quality_level x rung x split,4,0.0054239101439017365,9.286910952009345e-06,UCI498,duration,nagelkerke,0.0017122169626004767
encoding x quality_level x rung x split,4,0.033138521437135346,5.674033852016266e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family x encoding x quality_level x rung x split,5,0.032490293745164135,5.56304320703422e-05,UCI498,duration,nagelkerke,0.0017122169626004767
family,1,0.006896101473502097,1.4158211041824051e-06,UCI498,handover,ap,0.00020530746387979098
encoding,1,0.04632520602002834,9.510910561680844e-06,UCI498,handover,ap,0.00020530746387979098
quality_level,1,0.005088194690643385,1.044644347662611e-06,UCI498,handover,ap,0.00020530746387979098
rung,1,0.5348676347440883,0.00010981231760069113,UCI498,handover,ap,0.00020530746387979098
split,1,0.004398003526652285,9.029429501913574e-07,UCI498,handover,ap,0.00020530746387979098
