log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,boot_shift,sim_lo,sim_hi,raw_lo,raw_hi,sim_resolved,raw_resolved
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.750,-0.0992501102779003,0.04188864441127183,4.558657092119184,-0.02382002646669605,-0.2663860497359072,0.11552588211349868,-0.29020607620260325,0.09170585564680263,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.775,-0.0865558986423565,0.04089407705301706,4.558657092119184,-0.034896828897711105,-0.23808114412804998,0.13476300463875918,-0.2729779730257611,0.09986617574104809,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_half,decision-curve,31,nb_0.800,-0.0736656374062638,0.04088578200062214,4.558657092119184,-0.03683281870313185,-0.22321707878710692,0.149551441380843,-0.26004989749023877,0.11271862267771116,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,scalars,5,ap,0.0308651260947623,0.01500461494430717,2.4607112142904124,-0.012582466587652198,0.006525568422848328,0.08036961694198066,-0.0060568981648038665,0.06778715035432846,True,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,scalars,5,auc,0.0447024270147687,0.014547357602017101,2.4607112142904124,-0.007203374600187454,0.01610895562537979,0.08770264760453253,0.008905581025192337,0.08049927300434506,True,True
BPIC13_incidents,duration,logit,clean,1.0,B_intake,scalars,5,brier_skill,0.0144425608081589,0.01991621285464101,2.4607112142904124,-0.008670773120530599,-0.0258947143889205,0.07212138224629949,-0.0345654875094511,0.0634506091257689,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,scalars,5,logloss_skill,0.0100715939845837,0.01732311141619775,2.4607112142904124,-0.012338014618187398,-0.02021756592546897,0.06503678313101116,-0.03255558054365637,0.05269876851282376,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,scalars,5,nagelkerke,0.0167625629750976,0.029758289050125838,2.4607112142904124,-0.02050791317359745,-0.03595607943504518,0.11049703173243529,-0.056463992608642634,0.08998911855883784,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,decision-curve,31,nb_0.050,2.3216400065015352e-05,0.0005550646666172551,3.4858829993077194,-2.3216400065015352e-05,-0.0018884576847474658,0.0019813232850075272,-0.0019116740848124812,0.001958106884942512,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,decision-curve,31,nb_0.075,-0.0002265167682018,0.001083606064904264,3.4858829993077194,7.749257859535001e-05,-0.004081333306393661,0.003473314612799361,-0.004003840727798311,0.0035508071913947113,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,decision-curve,31,nb_0.100,0.001470372004117,0.0018351259826441344,3.4858829993077194,-0.0005881488016468001,-0.00433851365872326,0.008455555270250862,-0.004926662460370061,0.00786740646860406,False,False
BPIC13_incidents,duration,logit,clean,1.0,B_intake,decision-curve,31,nb_0.125,0.0025206377213435,0.0024050020633150982,3.4858829993077194,0.0010082550885373498,-0.006871173173003937,0.009895938438616239,-0.005862918084466588,0.010904193527153588,False,False
