log,domain,target,f_rule,g_rule,instrument,base,with_f,base_g,with_gf,naive,honest,reduction
Helpdesk,itsm,duration,registered,alt,nb_0.5,0.09388646288209607,0.07787481804949054,0.09388646288209607,0.07787481804949054,-0.01601164483260553,-0.01601164483260553,
Helpdesk,itsm,duration,amended,primary,auc,0.6387471121759221,0.6170852228972362,0.6345651150851374,0.6150423547531445,-0.021661889278685842,-0.01952276033199285,
Helpdesk,itsm,duration,amended,primary,ap,0.565601399671975,0.5701195968152635,0.5660431049489163,0.5639899008957874,0.004518197143288494,-0.002053204053128921,1.454429939202372
Helpdesk,itsm,duration,amended,primary,brier_skill,0.06731970221748207,0.030538154204691526,0.05378778900095227,0.019293126000076044,-0.036781548012790544,-0.034494663000876225,
Helpdesk,itsm,duration,amended,primary,nagelkerke,0.08171195387548869,0.022509491598861214,0.05934143155054983,0.00181907879811997,-0.05920246227662747,-0.05752235275242986,
Helpdesk,itsm,duration,amended,primary,nb_0.2,0.3138646288209607,0.30622270742358076,0.314410480349345,0.30403930131004364,-0.007641921397379958,-0.010371179039301348,
Helpdesk,itsm,duration,amended,primary,nb_0.3,0.20336868371802871,0.18215845290081098,0.20014556040756915,0.19161987939280514,-0.021210230817217735,-0.008525681014764003,
Helpdesk,itsm,duration,amended,primary,nb_0.4,0.13294517224648228,0.13148956817079088,0.11935953420669576,0.11547792333818532,-0.0014556040756913968,-0.003881610868510438,
Helpdesk,itsm,duration,amended,primary,nb_0.5,0.09388646288209607,0.07787481804949054,0.09024745269286755,0.08660844250363901,-0.01601164483260553,-0.0036390101892285337,
Helpdesk,itsm,duration,amended,alt,auc,0.6387471121759221,0.6170852228972362,0.6385011123470523,0.6171044750577565,-0.021661889278685842,-0.02139663728929586,
Helpdesk,itsm,duration,amended,alt,ap,0.565601399671975,0.5701195968152635,0.5667372930061346,0.5699045659846655,0.004518197143288494,0.0031672729785309217,0.29899628588900495
Helpdesk,itsm,duration,amended,alt,brier_skill,0.06731970221748207,0.030538154204691526,0.0672707065392113,0.03038279907825725,-0.036781548012790544,-0.03688790746095405,
Helpdesk,itsm,duration,amended,alt,nagelkerke,0.08171195387548869,0.022509491598861214,0.08166744926486436,0.022330389317944437,-0.05920246227662747,-0.059337059946919915,
Helpdesk,itsm,duration,amended,alt,nb_0.2,0.3138646288209607,0.30622270742358076,0.3138646288209607,0.30622270742358076,-0.007641921397379958,-0.007641921397379958,
