log,target,block,n,prevalence,base_auc,with_auc,V,unseen_share,V_whole,spread_null_median,spread_percentile,n_perm
BPIC13_incidents,handover,0,453,0.6644591611479028,0.8276905927609721,0.8700384682636825,0.04234787550271035,0.04856512141280353,0.037251339730705046,0.022275920514420344,0.0325,400
BPIC13_incidents,handover,1,453,0.5739514348785872,0.7978477481068154,0.8346950976484655,0.03684734954165014,0.04856512141280353,0.037251339730705046,0.022275920514420344,0.0325,400
BPIC13_incidents,handover,2,454,0.6189427312775331,0.8881472034229527,0.9206282270174644,0.03248102359451166,0.06167400881057269,0.037251339730705046,0.022275920514420344,0.0325,400
BPIC13_incidents,handover,3,453,0.6203090507726269,0.7919597782007778,0.8335160969957792,0.041556318795001435,0.052980132450331126,0.037251339730705046,0.022275920514420344,0.0325,400
BPIC13_incidents,handover,4,454,0.6013215859030837,0.8329387003420153,0.868121749337219,0.035183048995203636,0.04405286343612335,0.037251339730705046,0.022275920514420344,0.0325,400
BPIC15_1,duration,0,72,0.4444444444444444,0.815234375,0.8097656249999999,-0.005468750000000022,0.05555555555555555,0.001095153164992646,0.06877258391076246,1.0,400
BPIC15_1,duration,1,72,0.6805555555555556,0.826530612244898,0.8070097604259096,-0.01952085181898844,0.041666666666666664,0.001095153164992646,0.06877258391076246,1.0,400
BPIC15_1,duration,2,72,0.5277777777777778,0.7774767801857586,0.8134674922600619,0.035990712074303266,0.06944444444444445,0.001095153164992646,0.06877258391076246,1.0,400
BPIC15_1,duration,3,72,0.4027777777777778,0.7113071371291099,0.8139534883720929,0.10264635124298305,0.08333333333333333,0.001095153164992646,0.06877258391076246,1.0,400
BPIC15_1,duration,4,72,0.1527777777777778,0.7779433681073026,0.7011922503725783,-0.07675111773472432,0.16666666666666666,0.001095153164992646,0.06877258391076246,1.0,400
BPIC15_1,handover,0,72,0.875,0.9717813051146384,0.9735449735449735,0.0017636684303350414,0.05555555555555555,0.007079241836035699,0.020986171427130995,0.0675,400
BPIC15_1,handover,1,72,0.8888888888888888,0.97265625,0.982421875,0.009765625,0.041666666666666664,0.007079241836035699,0.020986171427130995,0.0675,400
BPIC15_1,handover,2,72,0.9027777777777778,0.9395604395604396,0.9516483516483516,0.012087912087912045,0.06944444444444445,0.007079241836035699,0.020986171427130995,0.0675,400
BPIC15_1,handover,3,72,0.8888888888888888,0.91015625,0.91796875,0.0078125,0.08333333333333333,0.007079241836035699,0.020986171427130995,0.0675,400
BPIC15_1,handover,4,72,0.6388888888888888,0.9013377926421404,0.907190635451505,0.0058528428093646,0.16666666666666666,0.007079241836035699,0.020986171427130995,0.0675,400
BPIC15_3,duration,0,84,0.5119047619047619,0.7855927396483267,0.7722631877481566,-0.013329551900170045,0.047619047619047616,0.03537958999774726,0.06813362864525663,0.225,400
BPIC15_3,duration,1,85,0.4823529411764706,0.7281042128603106,0.7657982261640799,0.037694013303769314,0.07058823529411765,0.03537958999774726,0.06813362864525663,0.225,400
BPIC15_3,duration,2,84,0.5238095238095238,0.8696022727272728,0.8767045454545455,0.007102272727272707,0.10714285714285714,0.03537958999774726,0.06813362864525663,0.225,400
BPIC15_3,duration,3,85,0.43529411764705883,0.7711148648648649,0.7908220720720721,0.0197072072072072,0.08235294117647059,0.03537958999774726,0.06813362864525663,0.225,400
