log,target,metric,split_set,S_learner,S_quality,S_rung,largest_first_order,largest_first_order_axis,interaction_total,var_foldavg,var_pooled,var_ratio,n_folds
BPIC15_3,duration,ap,rolling,6.389805133638592e-05,0.3793487768999392,0.5263869153153609,0.5263869153153609,rung,0.09420040973336363,0.0013964906034767285,0.003917671388640012,0.35645935172768767,5
BPIC15_3,duration,auc,rolling,0.01873671164000743,0.5902093403425502,0.2734613852685223,0.5902093403425502,quality_level,0.11759256274892005,0.0012684495593934544,0.004619094641049694,0.2746099956733508,5
BPIC15_3,duration,brier_skill,rolling,0.05836791644825769,0.5096313580304356,0.010837750808316133,0.5096313580304356,quality_level,0.4211629747129906,0.0029083632634094815,0.01872868822886992,0.1552892134178567,5
BPIC15_3,duration,logloss_skill,rolling,0.2125093085577996,0.31239302008900166,0.024312324858047372,0.31239302008900166,quality_level,0.45078534649515134,0.003020940690615499,0.025906672306602742,0.11660859622814476,5
BPIC15_3,duration,nagelkerke,rolling,0.0036145592252177987,0.2829078731579282,0.16786903478266277,0.2829078731579282,quality_level,0.5456085328341913,0.017813658774862004,0.21829130720207315,0.08160498465645188,5
BPIC15_3,handover,ap,rolling,0.013359707661233797,0.04510236342611212,0.8811238869600894,0.8811238869600894,rung,0.06041404195256472,0.0001131030609387412,0.00040479771141499097,0.2794063744663568,5
BPIC15_3,handover,auc,rolling,0.20223031413718626,0.01667896337127521,0.6937325911112229,0.6937325911112229,rung,0.08735813138031567,0.001346019378291637,0.0037411500937594446,0.3597875905959804,5
BPIC15_3,handover,brier_skill,rolling,0.006677885816372418,0.12774958989453095,0.21634169272830597,0.21634169272830597,rung,0.6492308315607906,0.002535876573635719,0.021529465235732695,0.1177863242709297,5
BPIC15_3,handover,logloss_skill,rolling,0.033293268609488,0.012160547672780351,0.37120779425198464,0.37120779425198464,rung,0.583338389465747,0.015370451290863101,0.07146977966407604,0.21506224537290672,5
BPIC15_3,handover,nagelkerke,rolling,0.08474515814733612,0.027951022588570844,0.3666518972438712,0.3666518972438712,rung,0.5206519220202218,0.10269859001892412,0.4608804052901226,0.22283132205257397,5
BPIC15_4,duration,ap,rolling,0.03968093188573823,0.30494781738049864,0.15390265541432216,0.30494781738049864,quality_level,0.501468595319441,0.00021640862204705153,0.0022000460035295696,0.09836549858496761,5
BPIC15_4,duration,auc,rolling,0.04298282442200484,0.008027931960637514,0.20222974171678978,0.20222974171678978,rung,0.746759501900568,8.655154566469064e-05,0.0018961250902629647,0.045646537830838586,5
BPIC15_4,duration,brier_skill,rolling,0.3091968243451992,0.050402403669800526,0.1396948812871149,0.3091968243451992,learner,0.5007058906978854,0.0006863566300645803,0.005811713591418224,0.11809883939877527,5
BPIC15_4,duration,logloss_skill,rolling,0.4745662266916638,0.039082607766411065,0.11162903336267996,0.4745662266916638,learner,0.3747221321792451,0.0010891292194624184,0.006718359639128224,0.16211237235935527,5
BPIC15_4,duration,nagelkerke,rolling,0.6810728610921926,0.03471121066417357,0.03876703014991087,0.6810728610921926,learner,0.24544889809372306,0.008543511457121901,0.03502748702398494,0.2439087751648231,5
BPIC15_4,handover,ap,rolling,0.09113077735762742,0.06283402977946537,0.38855910487601336,0.38855910487601336,rung,0.4574760879868939,1.333385618614125e-05,7.075872488411723e-05,0.18844115984252593,5
BPIC15_4,handover,auc,rolling,0.07094307200910585,0.3051247850796868,0.07905137408039631,0.3051247850796868,quality_level,0.544880768830811,0.0003397355774234092,0.0011719927938518033,0.2898785548901321,5
BPIC15_4,handover,brier_skill,rolling,0.1402341483730276,0.3192704002262782,0.09772374196466484,0.3192704002262782,quality_level,0.4427717094360294,0.0051007662660158505,0.014265338592564712,0.35756363109912015,5
BPIC15_4,handover,logloss_skill,rolling,0.48109212992942474,0.09146111843346817,0.12480479245724531,0.48109212992942474,learner,0.3026419591798618,0.00960189723174683,0.026717840911661246,0.35938148084248805,5
BPIC15_4,handover,nagelkerke,rolling,0.11076237329853932,0.1979458830466691,0.2182173629025822,0.2182173629025822,rung,0.4730743807522094,1.851363846974373,9.377213130924972,0.19743220305708822,5
BPIC15_5,duration,ap,rolling,0.21967826176146873,0.21287400487619718,0.2754149708607131,0.2754149708607131,rung,0.292032762501621,0.0010690559991921099,0.0030141434978177917,0.354679861780335,5
BPIC15_5,duration,auc,rolling,0.2776277105224904,0.1294134256865471,0.3719236671893839,0.3719236671893839,rung,0.22103519660157855,0.0002989587715213612,0.0012369178065202678,0.24169655408422044,5
BPIC15_5,duration,brier_skill,rolling,0.139980378183489,0.12580231528256075,0.4447293405783688,0.4447293405783688,rung,0.28948796595558146,0.0025784420117051917,0.00883367316958816,0.29188786614633183,5
BPIC15_5,duration,logloss_skill,rolling,0.40132311099312384,0.12234859108111376,0.2207388935734391,0.40132311099312384,learner,0.25558940435232325,0.003167729123698028,0.010833053987695712,0.2924133053611628,5
BPIC15_5,duration,nagelkerke,rolling,0.34973236195754953,0.03403212901870457,0.283809320100788,0.34973236195754953,learner,0.33242618892295783,0.04232727781442326,0.19024518667255425,0.22248803533345643,5
BPIC17,duration,ap,rolling,0.09169870395650652,0.4518082384510112,0.30282503822635143,0.4518082384510112,quality_level,0.15366801936613084,5.744850630217754e-05,0.00010041730128477074,0.5720976920029035,5
BPIC17,duration,auc,rolling,0.05337966308488273,0.11485127916393409,0.6940390505458828,0.6940390505458828,rung,0.13773000720530038,9.44050137242153e-05,0.0001546594584563067,0.6104056917468513,5
BPIC17,duration,brier_skill,rolling,0.06429964493025585,0.34863901752910587,0.09367608392587312,0.34863901752910587,quality_level,0.49338525361476515,2.598874198232339e-06,1.6509480678646694e-05,0.15741707742471356,5
BPIC17,duration,logloss_skill,rolling,0.03658390372453411,0.35790359253936616,0.07311503238427079,0.35790359253936616,quality_level,0.5323974713518289,1.4804526156188042e-06,9.318482957177078e-06,0.1588727073303882,5
BPIC17,duration,nagelkerke,rolling,0.03714282564105734,0.3563590338148072,0.07200032500646858,0.3563590338148072,quality_level,0.5344978155376668,4.875064279951456e-06,3.080567500656285e-05,0.15825214928460002,5
BPIC19,duration,ap,rolling,0.23064548052983477,0.09613104146376482,0.520904855502451,0.520904855502451,rung,0.15231862250394934,0.003435349004242913,0.007472447062312706,0.45973547562071054,5
