log,target,metric,measure,sum_first_order,interaction_total,largest_involvement,largest_involvement_axis,largest_first_order,largest_first_order_axis,var,mean,n_cells,check_sum,scale
BPIC15_5,duration,logloss_skill,equal-level,0.29926812497161726,0.7007318750283827,0.6414153794848039,split,0.15419927803401373,learner,0.010697144951358432,-0.012529129645383398,216,0.9999999999999997,raw-within-metric
BPIC15_5,duration,nagelkerke,equal-level,0.19193255564878425,0.8080674443512157,0.7503423481908452,split,0.09982319718332938,learner,0.17476856008757413,-0.061552765048952546,216,1.0,raw-within-metric
BPIC17,duration,ap,equal-level,0.6756227656649688,0.3243772343350312,0.22286743695765762,split,0.2802698164652674,quality_level,9.364855569585234e-05,0.011481682396944182,216,0.9999999999999999,raw-within-metric
BPIC17,duration,auc,equal-level,0.6697903682260727,0.33020963177392726,0.24814494870851184,rung,0.3854616897074811,rung,0.00014397119447333772,0.008105824858439435,216,0.9999999999999997,raw-within-metric
BPIC17,duration,brier_skill,equal-level,0.4100995532928117,0.5899004467071882,0.4985400551620798,split,0.34964037582223273,split,1.609179339198936e-05,-0.00018534021065533618,216,1.0,raw-within-metric
BPIC17,duration,logloss_skill,equal-level,0.4085889072091306,0.5914110927908693,0.4943854364526327,split,0.3461847673177833,split,9.151579779524845e-06,-0.00023631121993266286,216,1.0,raw-within-metric
BPIC17,duration,nagelkerke,equal-level,0.4083123717598512,0.5916876282401489,0.49464216089651236,split,0.3463960498336197,split,3.0265226089384965e-05,-0.0004311469230524755,216,0.9999999999999999,raw-within-metric
BPIC19,duration,ap,equal-level,0.649863158146841,0.35013684185315896,0.2875870975656143,split,0.313867688581665,split,0.006621876033488996,0.052460083356616734,324,1.0,raw-within-metric
BPIC19,duration,auc,equal-level,0.39079788581601227,0.6092021141839877,0.5632013091935792,split,0.17671770954843866,split,0.009344707414799976,0.04899738294937943,324,1.0,raw-within-metric
BPIC19,duration,brier_skill,equal-level,0.5100328863555171,0.48996711364448287,0.47876409641815454,split,0.4984610415652705,split,0.024564456393312534,-0.0021704978607480527,324,1.0000000000000004,raw-within-metric
BPIC19,duration,logloss_skill,equal-level,0.5684664374608104,0.4315335625391896,0.41274863445616194,split,0.552003209626214,split,0.026856202420282995,-0.03577175998034395,324,0.9999999999999999,raw-within-metric
BPIC19,duration,nagelkerke,equal-level,0.5260873968798887,0.4739126031201113,0.41829582212187955,split,0.49106309516070135,split,0.1473596408667629,-0.14276322649907172,324,1.0,raw-within-metric
Helpdesk,duration,ap,equal-level,0.516177905384571,0.483822094615429,0.44059468213284203,split,0.23628740068815035,split,0.00037950001783288595,0.005376725238083994,216,1.0,raw-within-metric
Helpdesk,duration,auc,equal-level,0.5661743333620943,0.43382566663790567,0.40645761278247416,split,0.4694228388748398,split,0.0003471111274299113,-0.0063657523350851295,216,1.0000000000000002,raw-within-metric
Helpdesk,duration,brier_skill,equal-level,0.6609110661154556,0.3390889338845444,0.2752202694700169,split,0.2624889165169453,learner,0.0011494284093204563,-0.03476563025273699,216,1.0000000000000004,raw-within-metric
Helpdesk,duration,logloss_skill,equal-level,0.6623959935712398,0.3376040064287602,0.3103300983836135,split,0.35239029375120606,learner,0.0015907222865435243,-0.03894570348616634,216,0.9999999999999999,raw-within-metric
Helpdesk,duration,nagelkerke,equal-level,0.6639798389983409,0.3360201610016591,0.3140853045795029,split,0.35217819528326083,learner,0.00585092684636542,-0.07239244615187747,216,1.0000000000000002,raw-within-metric
RoadFines,duration,ap,equal-level,0.5577838045022947,0.4422161954977053,0.3684003386832835,split,0.3400506654168021,quality_level,0.00024618578653352294,0.02589487516787277,324,0.9999999999999998,raw-within-metric
RoadFines,duration,auc,equal-level,0.5063349795525558,0.4936650204474442,0.4417974809968348,split,0.2855723745488005,rung,0.00029393269718701553,0.025732552518965557,324,1.0,raw-within-metric
RoadFines,duration,brier_skill,equal-level,0.5534508391413184,0.44654916085868157,0.41593456700662756,split,0.2708290712263812,quality_level,0.00011257759545646998,0.005879147391786918,324,1.0,raw-within-metric
RoadFines,duration,logloss_skill,equal-level,0.550949632308388,0.449050367691612,0.42435020506612936,split,0.29381863942779424,quality_level,7.423124509090069e-05,0.003938143197886072,324,0.9999999999999998,raw-within-metric
RoadFines,duration,nagelkerke,equal-level,0.5471663078185538,0.4528336921814462,0.42742789327626607,split,0.28905045444736516,quality_level,0.00025521597295168947,0.007205520153693907,324,1.0000000000000002,raw-within-metric
Sepsis,duration,ap,equal-level,0.3922645682996238,0.6077354317003762,0.574229423822005,split,0.13092095384846875,rung,0.0031918899602027596,0.12783257983635193,216,0.9999999999999998,raw-within-metric
Sepsis,duration,auc,equal-level,0.48086476114879206,0.5191352388512079,0.5071032308643315,split,0.24532017027653527,split,0.002518153587567631,0.15227869858897508,216,0.9999999999999998,raw-within-metric
Sepsis,duration,brier_skill,equal-level,0.3345239992286443,0.6654760007713557,0.6011501203989725,split,0.17250650783080687,quality_level,0.007001067852872561,0.20387089144864468,216,1.0000000000000002,raw-within-metric
Sepsis,duration,logloss_skill,equal-level,0.3991914770533052,0.6008085229466948,0.5425100573585236,split,0.14514381936123225,quality_level,0.014525643775929475,0.16163727776482287,216,1.0,raw-within-metric
Sepsis,duration,nagelkerke,equal-level,0.31496612587850653,0.6850338741214934,0.5851095245902636,split,0.15391588492383035,quality_level,0.06017721337584124,0.2811575844266886,216,0.9999999999999998,raw-within-metric
UCI498,duration,ap,equal-level,0.7804923572634731,0.2195076427365269,0.18475432182885754,rung,0.6900620317634361,rung,0.0005190417424307705,0.015173068450361465,216,0.9999999999999999,raw-within-metric
UCI498,duration,auc,equal-level,0.8340900687743773,0.1659099312256227,0.14963894119043342,rung,0.7703771966342026,rung,0.000684838842446307,0.015283779280048638,216,1.0000000000000004,raw-within-metric
UCI498,duration,brier_skill,equal-level,0.5420375476373583,0.45796245236264166,0.41233751440237854,split,0.3987637606809402,split,0.0001966527355340506,-0.003639751807102443,216,1.0,raw-within-metric
UCI498,duration,logloss_skill,equal-level,0.5666901367111349,0.4333098632888651,0.3911247063312902,split,0.4512398299543053,split,0.00017518099343949192,-0.0030172410258206286,216,1.0000000000000002,raw-within-metric
