family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
whole-surface,heavy,180,400,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9648148148148148,7.101876552083972,3.603673755253239,3.0029721176046333,0.8332430559550924,0.0,0.0,0.0,0.5939687655801893,13.179963646151041,0.0
whole-surface,heavy,180,400,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9648148148148148,7.8819932089035545,4.119761507323505,3.0029721176046333,0.7271450166713203,0.0,0.0,0.0,0.5939687655801893,13.179963646151041,0.0
whole-surface,heavy,180,400,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9648148148148148,12.364153889599068,7.12340839188716,3.0029721176046333,0.4937439202406337,0.0,0.0,0.0,0.5939687655801893,13.179963646151041,0.0
whole-surface,heavy,180,400,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9648148148148148,6.9710563788883375,3.5361963111304386,3.0029721176046333,0.849036210283992,0.0,0.0,0.0,0.5939687655801893,13.179963646151041,0.0
whole-surface,heavy,180,1000,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9500000000000001,7.193700776849526,3.598441162074238,3.4199381151534207,0.9505199995985651,0.0,0.0,0.0,2.50031366874631,12.067894346479143,0.0
whole-surface,heavy,180,1000,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9500000000000001,7.230664132031888,3.6136195318635145,3.4199381151534207,0.9464406003217438,0.0,0.0,0.0,2.50031366874631,12.067894346479143,0.0
whole-surface,heavy,180,1000,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9500000000000001,9.24727801631835,4.181354796606019,3.4199381151534207,0.731752826476575,0.0,0.0,0.0,2.50031366874631,12.067894346479143,0.0
whole-surface,heavy,180,1000,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9500000000000001,13.838490621575893,6.870737556838479,3.4199381151534207,0.49580317023493736,0.0,0.0,0.0,2.50031366874631,12.067894346479143,0.0
whole-surface,heavy,180,1000,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9500000000000001,7.144186266169903,3.5761962543582735,3.4199381151534207,0.9564421949698031,0.0,0.0,0.0,2.50031366874631,12.067894346479143,0.0
whole-surface,nonzero,180,33,q_mult,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9203703703703704,6.773788502285463,3.469817369517403,3.7391370393930217,1.0836704042105783,0.0,25.666666666666668,1.6162647972536635,-0.044207887286915826,6.781802364223351,0.0
whole-surface,nonzero,180,33,q_mult_hi,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9203703703703704,6.808341170475245,3.4864729684838154,3.7391370393930217,1.0778459211374576,0.0,25.333333333333332,1.6162647972536635,-0.044207887286915826,6.781802364223351,0.0
whole-surface,nonzero,180,33,q_emp,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9203703703703704,6.322180533726886,3.2742310951363782,3.7391370393930217,1.1416575659461528,0.0,30.666666666666668,1.6162647972536635,-0.044207887286915826,6.781802364223351,0.0
whole-surface,nonzero,180,33,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9203703703703704,9.734562266417287,4.950598135745263,3.7391370393930217,0.7557772229322378,0.0,6.333333333333333,1.6162647972536635,-0.044207887286915826,6.781802364223351,0.0
whole-surface,nonzero,180,33,q_rad,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9203703703703704,6.335445303983728,3.239888061350315,3.7391370393930217,1.1543975480817052,0.0,30.666666666666668,1.6162647972536635,-0.044207887286915826,6.781802364223351,0.0
