log,target,admitted,threshold_measure,rule,n_cells,adopts,loss_per_1000,excess_per_1000,rel_excess,share_positive,mean_dnb_per_1000
BPIC15_3,duration,True,fixed 1:9,weighted-mean,155,False,0.0,0.0,,0.0,0.0
BPIC15_3,duration,True,fixed 1:19,one-number,155,True,0.0,0.0,,0.0,0.0
BPIC15_3,duration,True,fixed 1:19,uniform-beneficial,155,False,0.0,0.0,,0.0,0.0
BPIC15_3,duration,True,fixed 1:19,majority,155,False,0.0,0.0,,0.0,0.0
BPIC15_3,duration,True,fixed 1:19,weighted-mean,155,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,uniform over the declared range,one-number,124,False,2.3548196333142513,0.0,0.0,0.2661290322580646,-6.719418589927415
BPIC15_3,handover,True,uniform over the declared range,uniform-beneficial,124,False,2.3548196333142513,0.0,0.0,0.2661290322580646,-6.719418589927415
BPIC15_3,handover,True,uniform over the declared range,majority,124,False,2.3548196333142513,0.0,0.0,0.2661290322580646,-6.719418589927415
BPIC15_3,handover,True,uniform over the declared range,weighted-mean,124,False,2.3548196333142513,0.0,0.0,0.2661290322580646,-6.719418589927415
BPIC15_3,handover,True,desk distribution,one-number,124,False,0.09993208138041514,0.09531131159158396,20.626717180751992,0.05103224903307836,0.09531131159158394
BPIC15_3,handover,True,desk distribution,uniform-beneficial,124,False,0.09993208138041514,0.09531131159158396,20.626717180751992,0.05103224903307836,0.09531131159158394
BPIC15_3,handover,True,desk distribution,majority,124,False,0.09993208138041514,0.09531131159158396,20.626717180751992,0.05103224903307836,0.09531131159158394
BPIC15_3,handover,True,desk distribution,weighted-mean,124,True,0.004620769788831185,0.0,0.0,0.05103224903307836,0.09531131159158394
BPIC15_3,handover,True,fixed 1:2,one-number,124,False,0.59101654846335,0.59101654846335,,0.25,0.59101654846335
BPIC15_3,handover,True,fixed 1:2,uniform-beneficial,124,False,0.59101654846335,0.59101654846335,,0.25,0.59101654846335
BPIC15_3,handover,True,fixed 1:2,majority,124,False,0.59101654846335,0.59101654846335,,0.25,0.59101654846335
BPIC15_3,handover,True,fixed 1:2,weighted-mean,124,True,0.0,0.0,,0.25,0.59101654846335
BPIC15_3,handover,True,fixed 1:4,one-number,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:4,uniform-beneficial,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:4,majority,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:4,weighted-mean,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:9,one-number,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:9,uniform-beneficial,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:9,majority,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:9,weighted-mean,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:19,one-number,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:19,uniform-beneficial,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:19,majority,124,False,0.0,0.0,,0.0,0.0
BPIC15_3,handover,True,fixed 1:19,weighted-mean,124,False,0.0,0.0,,0.0,0.0
BPIC15_4,handover,True,uniform over the declared range,one-number,62,False,0.0,0.0,,0.0,-2.3695064693191163
BPIC15_4,handover,True,uniform over the declared range,uniform-beneficial,62,False,0.0,0.0,,0.0,-2.3695064693191163
BPIC15_4,handover,True,uniform over the declared range,majority,62,False,0.0,0.0,,0.0,-2.3695064693191163
BPIC15_4,handover,True,uniform over the declared range,weighted-mean,62,False,0.0,0.0,,0.0,-2.3695064693191163
