quantity,pipeline,package,difference,agrees,tolerance
S[BPIC15_1/handover/learner],0.0030294109051876,0.003029410905187655,5.5077470362263625e-17,True,1e-12
S_total[BPIC15_1/handover/learner],0.417474685790877,0.417474685790877,0.0,True,1e-12
S[BPIC15_3/duration/split],0.1841655208986153,0.18416552089861532,2.7755575615628914e-17,True,1e-12
S_total[BPIC15_3/duration/split],0.6672720596518291,0.6672720596518291,0.0,True,1e-12
S[BPIC15_3/duration/metric],0.0797891983785162,0.0797891983785162,0.0,True,1e-12
S_total[BPIC15_3/duration/metric],0.2791404697190506,0.2791404697190506,0.0,True,1e-12
S[BPIC15_3/duration/quality_level],0.0677092951146137,0.0677092951146137,0.0,True,1e-12
S_total[BPIC15_3/duration/quality_level],0.2978301244498424,0.29783012444984247,5.551115123125783e-17,True,1e-12
S[BPIC15_3/duration/learner],0.0257040979118754,0.025704097911875414,1.3877787807814457e-17,True,1e-12
S_total[BPIC15_3/duration/learner],0.374791592480491,0.374791592480491,0.0,True,1e-12
S[BPIC15_3/duration/rung],0.0018308102187162,0.0018308102187162484,4.83554168928535e-17,True,1e-12
S_total[BPIC15_3/duration/rung],0.3791579490949468,0.3791579490949468,0.0,True,1e-12
S[BPIC15_3/handover/split],0.1246946744298346,0.12469467442983469,8.326672684688674e-17,True,1e-12
S_total[BPIC15_3/handover/split],0.6967873432092202,0.6967873432092202,0.0,True,1e-12
S[BPIC15_3/handover/metric],0.0644293000449609,0.06442930004496093,2.7755575615628914e-17,True,1e-12
S_total[BPIC15_3/handover/metric],0.4978347577671298,0.4978347577671298,0.0,True,1e-12
S[BPIC15_3/handover/rung],0.0189195435757108,0.018919543575710875,7.632783294297951e-17,True,1e-12
S_total[BPIC15_3/handover/rung],0.5525371574051079,0.5525371574051079,0.0,True,1e-12
S[BPIC15_3/handover/learner],0.0050873417811545,0.005087341781154577,7.719519468096792e-17,True,1e-12
S_total[BPIC15_3/handover/learner],0.4239625833319217,0.4239625833319217,0.0,True,1e-12
S[BPIC15_3/handover/quality_level],0.0012200532284322,0.0012200532284322876,8.760353553682876e-17,True,1e-12
S_total[BPIC15_3/handover/quality_level],0.2704678212814599,0.27046782128145996,5.551115123125783e-17,True,1e-12
S[BPIC15_4/duration/split],0.1560293775391056,0.15602937753910565,5.551115123125783e-17,True,1e-12
S_total[BPIC15_4/duration/split],0.8364066774965744,0.8364066774965744,0.0,True,1e-12
S[BPIC15_4/duration/learner],0.0287652208428397,0.028765220842839705,6.938893903907228e-18,True,1e-12
S_total[BPIC15_4/duration/learner],0.4438060457229547,0.4438060457229547,0.0,True,1e-12
