log,target,metric,draw,interaction_total
BPIC13_closed,handover,nagelkerke,4,0.5517618161105531
BPIC13_closed,handover,nagelkerke,5,0.7220588768799544
BPIC13_closed,handover,nagelkerke,6,0.5119516691515726
BPIC13_closed,handover,nagelkerke,7,0.39167882565189316
BPIC13_closed,handover,nagelkerke,8,0.504203163014789
BPIC13_closed,handover,nagelkerke,9,0.37775178750799276
BPIC13_closed,handover,nagelkerke,10,0.6834527638838347
BPIC13_closed,handover,nagelkerke,11,0.37172850391601675
BPIC13_closed,handover,nagelkerke,12,0.2868088415421921
BPIC13_closed,handover,nagelkerke,13,0.45798643672569694
BPIC13_closed,handover,nagelkerke,14,0.4272046276434258
BPIC13_closed,handover,nagelkerke,15,0.47686492437392103
BPIC13_closed,handover,nagelkerke,16,0.3275745254176188
BPIC13_closed,handover,nagelkerke,17,0.4330902506268084
BPIC13_closed,handover,nagelkerke,18,0.5446888180447641
BPIC13_closed,handover,nagelkerke,19,0.5820570547876037
BPIC13_closed,handover,nagelkerke,20,0.5462492492599874
BPIC13_closed,handover,nagelkerke,21,0.3938617993392143
BPIC13_closed,handover,nagelkerke,22,0.6126024409969282
BPIC13_closed,handover,nagelkerke,23,0.6961633370819601
BPIC13_closed,handover,nagelkerke,24,0.3862054496462508
BPIC13_closed,handover,nagelkerke,25,0.3183195032858833
BPIC13_closed,handover,nagelkerke,26,0.4851661525581046
BPIC13_closed,handover,nagelkerke,27,0.4232029550986648
BPIC13_closed,handover,nagelkerke,28,0.5924556823816363
BPIC13_closed,handover,nagelkerke,29,0.454540180903216
BPIC13_closed,handover,nagelkerke,30,0.3942478148077442
BPIC13_closed,handover,nagelkerke,31,0.4359049682875549
BPIC13_closed,handover,nagelkerke,32,0.353298409856881
BPIC13_closed,handover,nagelkerke,33,0.5424000898214747
BPIC13_closed,handover,nagelkerke,34,0.33884726710701896
BPIC13_closed,handover,nagelkerke,35,0.458546613179861
BPIC13_closed,handover,nagelkerke,36,0.28593682925932906
BPIC13_closed,handover,nagelkerke,37,0.5989781849796605
BPIC13_closed,handover,nagelkerke,38,0.46366478588413707
BPIC13_closed,handover,nagelkerke,39,0.4312740419731277
BPIC13_closed,handover,nagelkerke,40,0.4480692266898312
BPIC13_closed,handover,nagelkerke,41,0.46318603964314864
BPIC13_closed,handover,nagelkerke,42,0.4964692016807355
BPIC13_closed,handover,nagelkerke,43,0.3518748571218093
BPIC13_closed,handover,nagelkerke,44,0.3890662419576485
