experiment,world,K,n_train,block_mult,estimand,interval,n,coverage,coverage_se,bias,bias_se,mean_width,width_se,rmse,truth
grid,linear,20,8000,1.0,V_limit,nested_bc,150,0.9133333333333333,0.022971802360801027,-0.0006159729031423596,0.0009305852717052236,0.03905131704232099,0.0004477474398924215,0.011375929669995928,0.19189645322729698
grid,linear,20,8000,1.0,V_oracle,naive_pct,150,0.9,0.02449489742783178,-0.0006868630331751676,0.0009305852717052236,0.03885469150888781,0.00039815930840210456,0.011379988315707123,0.1919673433573298
grid,linear,20,8000,1.0,V_oracle,naive_basic,150,0.92,0.022150996967781528,-0.0006868630331751676,0.0009305852717052236,0.03885469150888781,0.00039815930840210456,0.011379988315707123,0.1919673433573298
grid,linear,20,8000,1.0,V_oracle,naive_bc,150,0.9066666666666666,0.023751803050466473,-0.0006868630331751676,0.0009305852717052236,0.038705231061686364,0.00036793288415203323,0.011379988315707123,0.1919673433573298
grid,linear,20,8000,1.0,V_oracle,nested_pct,150,0.9133333333333333,0.022971802360801027,-0.0006868630331751676,0.0009305852717052236,0.039137029852297875,0.00041140983132158953,0.011379988315707123,0.1919673433573298
grid,linear,20,8000,1.0,V_oracle,nested_basic,150,0.8933333333333333,0.02520435000668058,-0.0006868630331751676,0.0009305852717052236,0.039137029852297875,0.00041140983132158953,0.011379988315707123,0.1919673433573298
grid,linear,20,8000,1.0,V_oracle,nested_bc,150,0.9133333333333333,0.022971802360801027,-0.0006868630331751676,0.0009305852717052236,0.03905131704232099,0.0004477474398924215,0.011379988315707123,0.1919673433573298
grid,linear,200,2000,1.0,V_limit,naive_pct,150,0.5933333333333334,0.040107263588938506,-0.01529004290551498,0.0009183861653773164,0.0378308000266622,0.00042440340947786433,0.01895934996821358,0.08332352978421664
grid,linear,200,2000,1.0,V_limit,naive_basic,150,0.5866666666666667,0.04020687245475073,-0.01529004290551498,0.0009183861653773164,0.0378308000266622,0.0004244034094778642,0.01895934996821358,0.08332352978421664
grid,linear,200,2000,1.0,V_limit,naive_bc,150,0.5733333333333334,0.040383348236801946,-0.01529004290551498,0.0009183861653773164,0.03739344505720245,0.0004402100929418458,0.01895934996821358,0.08332352978421664
grid,linear,200,2000,1.0,V_limit,nested_pct,150,0.48,0.040792156108742275,-0.01529004290551498,0.0009183861653773164,0.042397863770810215,0.00048203766693450366,0.01895934996821358,0.08332352978421664
