log,target,metric,measure,axis,S,S_total,involvement,levels,n_cells,scale
BPIC15_3,duration,auc,reference,rung,0.002561560050483658,0.44378548900085674,0.4412239289503731,3,216,raw-within-metric
BPIC15_3,duration,brier_skill,reference,learner,0.012988056853547762,0.47446436454816354,0.4614763076946158,2,216,raw-within-metric
BPIC15_3,duration,brier_skill,reference,split,0.2288626812328743,0.5839255513288732,0.35506287009599896,6,216,raw-within-metric
BPIC15_3,duration,brier_skill,reference,quality_level,0.059327867426003024,0.14373039706998147,0.08440252964397846,6,216,raw-within-metric
BPIC15_3,duration,brier_skill,reference,rung,0.09642619711558081,0.548557083073947,0.4521308859583662,3,216,raw-within-metric
BPIC15_3,duration,logloss_skill,reference,learner,2.8181303537692987e-05,0.4635525061136157,0.463524324810078,2,216,raw-within-metric
BPIC15_3,duration,logloss_skill,reference,split,0.2564442878823087,0.6572101240366091,0.40076583615430034,6,216,raw-within-metric
BPIC15_3,duration,logloss_skill,reference,quality_level,0.02089182739675729,0.14193860680465406,0.12104677940789677,6,216,raw-within-metric
BPIC15_3,duration,logloss_skill,reference,rung,0.09732722159857479,0.5364177607264854,0.43909053912791063,3,216,raw-within-metric
BPIC15_3,duration,nagelkerke,reference,learner,0.055545805110348845,0.5027577367796261,0.44721193166927725,2,216,raw-within-metric
BPIC15_3,duration,nagelkerke,reference,split,0.22442179110317076,0.6288550859071803,0.4044332948040096,6,216,raw-within-metric
BPIC15_3,duration,nagelkerke,reference,quality_level,0.013391691771909459,0.10961189870328492,0.09622020693137545,6,216,raw-within-metric
BPIC15_3,duration,nagelkerke,reference,rung,0.11589531553153536,0.5103243484287613,0.3944290328972259,3,216,raw-within-metric
BPIC15_3,handover,ap,reference,learner,1.6828866634336992e-05,0.11131118420064029,0.11129435533400596,2,216,raw-within-metric
BPIC15_3,handover,ap,reference,split,0.3887017420153443,0.8343495399923566,0.4456477979770123,6,216,raw-within-metric
BPIC15_3,handover,ap,reference,quality_level,0.0035776297521768934,0.11192338912303154,0.10834575937085465,6,216,raw-within-metric
BPIC15_3,handover,ap,reference,rung,0.15144090245477407,0.5199081878485674,0.36846728539379336,3,216,raw-within-metric
BPIC15_3,handover,auc,reference,learner,0.0027541046739252375,0.502725718189897,0.49997161351597175,2,216,raw-within-metric
BPIC15_3,handover,auc,reference,split,0.26968758652399655,0.8300878269059628,0.5604002403819663,6,216,raw-within-metric
BPIC15_3,handover,auc,reference,quality_level,6.592982033504429e-05,0.08804061089055018,0.08797468107021514,6,216,raw-within-metric
BPIC15_3,handover,auc,reference,rung,0.11926998345066152,0.5209625038308974,0.40169252038023584,3,216,raw-within-metric
BPIC15_3,handover,brier_skill,reference,learner,0.04114279949305531,0.42946966665880953,0.3883268671657542,2,216,raw-within-metric
BPIC15_3,handover,brier_skill,reference,split,0.167854375653658,0.5445435756249652,0.37668919997130723,6,216,raw-within-metric
BPIC15_3,handover,brier_skill,reference,quality_level,0.013982818586407311,0.16152186832909746,0.14753904974269014,6,216,raw-within-metric
BPIC15_3,handover,brier_skill,reference,rung,0.19321033690332418,0.6307796411168585,0.4375693042135343,3,216,raw-within-metric
BPIC15_3,handover,logloss_skill,reference,learner,0.002060787649891153,0.4488197104859076,0.4467589228360164,2,216,raw-within-metric
BPIC15_3,handover,logloss_skill,reference,split,0.1437566472345351,0.49677240248609394,0.3530157552515588,6,216,raw-within-metric
BPIC15_3,handover,logloss_skill,reference,quality_level,0.0031127040272777825,0.10973225862513802,0.10661955459786024,6,216,raw-within-metric
BPIC15_3,handover,logloss_skill,reference,rung,0.2433572002388186,0.7192275162690683,0.47587031603024976,3,216,raw-within-metric
BPIC15_3,handover,nagelkerke,reference,learner,0.00012578453557734488,0.4661930230760455,0.46606723854046817,2,216,raw-within-metric
BPIC15_3,handover,nagelkerke,reference,split,0.170064878560971,0.5636052565896915,0.39354037802872055,6,216,raw-within-metric
BPIC15_3,handover,nagelkerke,reference,quality_level,0.0025393413921663294,0.11330016918419827,0.11076082779203195,6,216,raw-within-metric
BPIC15_3,handover,nagelkerke,reference,rung,0.2092772883846324,0.6501870755912099,0.44090978720657753,3,216,raw-within-metric
BPIC15_4,duration,ap,reference,learner,0.00047188613947314134,0.4555621208837762,0.45509023474430305,2,216,raw-within-metric
BPIC15_4,duration,ap,reference,split,0.2778744028845421,0.8205858673555375,0.5427114644709954,6,216,raw-within-metric
BPIC15_4,duration,ap,reference,quality_level,0.024830056026675075,0.34841562791209385,0.32358557188541875,6,216,raw-within-metric
BPIC15_4,duration,ap,reference,rung,0.04152398887488632,0.39321814627891244,0.3516941574040261,3,216,raw-within-metric
BPIC15_4,duration,auc,reference,learner,0.143856274275405,0.5627924947853582,0.41893622050995316,2,216,raw-within-metric
BPIC15_4,duration,auc,reference,split,0.1921721206695377,0.6800413802129675,0.48786925954342975,6,216,raw-within-metric
BPIC15_4,duration,auc,reference,quality_level,0.024203392303108057,0.2864338159853952,0.2622304236822871,6,216,raw-within-metric
BPIC15_4,duration,auc,reference,rung,0.019031197382058683,0.3292064974028349,0.31017530002077626,3,216,raw-within-metric
BPIC15_4,duration,brier_skill,reference,learner,0.22533238585008433,0.724506958023213,0.49917457217312866,2,216,raw-within-metric
BPIC15_4,duration,brier_skill,reference,split,0.06268505750986425,0.5311480412033501,0.4684629836934859,6,216,raw-within-metric
BPIC15_4,duration,brier_skill,reference,quality_level,0.053877020176266575,0.40258601297529945,0.3487089927990329,6,216,raw-within-metric
BPIC15_4,duration,brier_skill,reference,rung,0.029930062414222584,0.16700653879927685,0.13707647638505427,3,216,raw-within-metric
BPIC15_4,duration,logloss_skill,reference,learner,0.2725861747723364,0.7174291460056774,0.44484297123334104,2,216,raw-within-metric
BPIC15_4,duration,logloss_skill,reference,split,0.07889233914249202,0.5109743415269133,0.4320820023844213,6,216,raw-within-metric
BPIC15_4,duration,logloss_skill,reference,quality_level,0.07647945730188974,0.423192868826137,0.3467134115242473,6,216,raw-within-metric
