log,instrument,population,regime,b_lo,b_hi,V_lo,V_hi,R
BPIC13_incidents,nb_0.100,0.5,random,B0,B0+g,0.00014703720041169682,-0.0003430868009606444,3.333333333333459
BPIC13_incidents,nb_0.100,0.5,rare-first,B0_half,B0,0.001911483605352142,0.0015193844042542676,0.20512820512820462
BPIC13_incidents,nb_0.100,0.5,rare-first,B0_half,B0+g,0.001911483605352142,0.002401607606724511,-0.2564102564102695
BPIC13_incidents,nb_0.100,0.5,rare-first,B0,B0+g,0.0015193844042542676,0.002401607606724511,-0.580645161290338
BPIC13_incidents,nb_0.100,0.75,rare-first,empty,B0_half,0.0003920992010978744,0.0014703720041170307,-2.7500000000000044
BPIC13_incidents,nb_0.100,0.75,rare-first,empty,B0,0.0003920992010978744,0.0015683968043915045,-3.0000000000000178
BPIC13_incidents,nb_0.100,0.75,rare-first,empty,B0+g,0.0003920992010978744,0.0026956820075479046,-5.875000000000046
BPIC13_incidents,nb_0.100,0.75,rare-first,B0_half,B0,0.0014703720041170307,0.0015683968043915045,-0.0666666666666702
BPIC13_incidents,nb_0.100,0.75,rare-first,B0_half,B0+g,0.0014703720041170307,0.0026956820075479046,-0.8333333333333435
BPIC13_incidents,nb_0.100,0.75,rare-first,B0,B0+g,0.0015683968043915045,0.0026956820075479046,-0.718750000000004
BPIC13_incidents,nb_0.100,1.0,full,B0_half,B0,0.0011762976032936232,0.0014703720041170307,-0.25000000000000155
BPIC13_incidents,nb_0.100,1.0,full,B0_half,B0+g,0.0011762976032936232,0.0021565456060383195,-0.8333333333333421
BPIC13_incidents,nb_0.100,1.0,full,B0,B0+g,0.0014703720041170307,0.0021565456060383195,-0.4666666666666721
BPIC13_incidents,nb_0.125,0.25,rare-first,empty,B0_half,0.003087781208645786,0.00270968555044427,0.12244897959183387
BPIC13_incidents,nb_0.125,0.25,rare-first,empty,B0,0.003087781208645786,0.002331589892242733,0.24489795918367452
BPIC13_incidents,nb_0.125,0.25,rare-first,empty,B0+g,0.003087781208645786,0.002331589892242733,0.24489795918367452
BPIC13_incidents,nb_0.125,0.25,rare-first,B0_half,B0,0.00270968555044427,0.002331589892242733,0.13953488372093426
BPIC13_incidents,nb_0.125,0.25,rare-first,B0_half,B0+g,0.00270968555044427,0.002331589892242733,0.13953488372093426
BPIC13_incidents,nb_0.125,0.25,rare-first,B0,B0+g,0.002331589892242733,0.002331589892242733,0.0
BPIC13_incidents,nb_0.125,0.5,random,empty,B0_half,0.001386350746738936,0.0007561913164030529,0.4545454545454568
BPIC13_incidents,nb_0.125,0.5,random,empty,B0,0.001386350746738936,0.0006301594303358832,0.5454545454545432
BPIC13_incidents,nb_0.125,0.5,random,empty,B0+g,0.001386350746738936,0.001764446404940452,-0.27272727272726405
BPIC13_incidents,nb_0.125,0.5,random,B0_half,B0,0.0007561913164030529,0.0006301594303358832,0.16666666666665897
BPIC13_incidents,nb_0.125,0.5,random,B0_half,B0+g,0.0007561913164030529,0.001764446404940452,-1.3333333333333273
BPIC13_incidents,nb_0.125,0.5,random,B0,B0+g,0.0006301594303358832,0.001764446404940452,-1.799999999999967
BPIC13_incidents,nb_0.125,0.5,rare-first,empty,B0_half,0.003087781208645786,0.00270968555044427,0.12244897959183387
